,paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
0,4VW9HVCRw0,6.0,Accept,7.0,Accept (Poster),Accept,YES,0.0,0.0,8.0,8.0,6.0,6.0,,,
1,41JeFWdVFa,6.0,Reject,4.67,Reject,Reject,YES,0.0,0.0,6.0,6.0,2.0,,,,
2,MwuSvrthXq,5.75,Accept,4.0,Reject,Reject,NO,0.0,0.0,6.0,4.0,2.0,4.0,,,
3,ppXAVexrAM,5.75,Reject,4.0,Reject,Reject,YES,0.0,0.0,4.0,4.0,6.0,2.0,,,
4,40sQXprYlm,6.25,Reject,5.0,Reject,Reject,YES,0.0,0.0,4.0,4.0,8.0,4.0,,,
5,KAZpuq2W4Y,4.75,Accept,2.67,Reject,Reject,NO,0.0,0.0,2.0,4.0,2.0,,,,
6,OPFE1zPYbU,5.25,Reject,1.0,Reject,Reject,YES,0.0,0.0,0.0,2.0,0.0,2.0,,,
7,m7gNW26Zih,3.0,Reject,0.0,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,0.0,0.0,0.0,0.0,,,
8,zwfpyw345l,4.75,Reject,0.5,Reject,Reject,YES,0.0,0.0,0.0,0.0,2.0,0.0,,,
9,aiM6bRd6bG,6.5,Reject,4.0,Reject,Reject,YES,0.0,0.0,4.0,2.0,6.0,4.0,,,
10,t5Nd4HiI3E,6.0,Reject,4.0,Reject,Reject,YES,0.0,0.0,4.0,2.0,4.0,6.0,,,
11,WhO6Km5Rku,5.75,Reject,4.0,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,4.0,4.0,2.0,6.0,,,
12,0K4jNe8ik9,3.0,Reject,1.0,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,0.0,0.0,2.0,2.0,,,
13,9wIVIjWn0F,-100.0,Accept,5.5,Reject,Reject,NO,0.0,0.0,8.0,2.0,6.0,6.0,,,
14,MQmrcX5jnk,7.0,Accept,6.0,Accept (Poster),Accept,YES,0.0,0.0,6.0,8.0,8.0,6.0,2.0,,
15,6Y9NP1qhoM,5.75,Reject,5.0,Accept (Poster),Accept,NO,0.0,0.0,4.0,6.0,8.0,2.0,,,
16,GFWfR4G5fm,6.5,Reject,4.5,Reject,Reject,YES,0.0,0.0,4.0,4.0,2.0,8.0,,,
17,omg9K6lI93,5.75,Reject,1.0,Reject,Reject,YES,0.0,0.0,2.0,0.0,2.0,0.0,,,
18,LD6B7AvkZq,5.75,Reject,3.0,Reject,Reject,YES,0.0,0.0,4.0,4.0,2.0,2.0,,,
19,cu6xWUNOzQ,7.5,Reject,6.67,Reject,Reject,YES,0.0,0.0,10.0,4.0,6.0,,,,
20,nHrYBGujps,6.0,Accept,7.5,Accept (Oral),Accept,YES,0.0,0.0,6.0,8.0,8.0,8.0,,,
21,Rd0yhdfueL,4.25,Reject,1.0,Reject,Reject,YES,0.0,0.0,2.0,0.0,0.0,2.0,,,
22,RNsydf7HB4,6.0,Reject,2.5,Reject,Reject,YES,0.0,0.0,2.0,2.0,2.0,4.0,,,
23,IU4rqTlpRb,6.0,Accept,5.33,Accept (Poster),Accept,YES,0.0,0.0,6.0,6.0,4.0,,,,
24,IdJakw2jta,-100.0,Accept,4.5,Withdrawn (treated as Reject),Reject,NO,0.0,0.0,4.0,6.0,4.0,4.0,,,
25,NfO2Lt2WY7,5.75,Reject,2.0,Reject,Reject,YES,0.0,0.0,6.0,0.0,0.0,2.0,,,
26,4hkMvkzai5,6.0,Reject,2.8,Reject,Reject,YES,0.0,0.0,4.0,2.0,2.0,4.0,2.0,,
27,W42oLSwI9p,-100.0,Reject,5.0,Reject,Reject,YES,0.0,0.0,4.0,4.0,6.0,6.0,,,
28,0cbUKCyBsH,6.25,Reject,3.5,Reject,Reject,YES,0.0,0.0,4.0,2.0,4.0,4.0,,,
29,khBHJz2wcV,6.0,Accept,3.0,Accept (Poster),Accept,YES,0.0,0.0,0.0,2.0,6.0,4.0,,,
30,gTMzRm8fb0,6.0,Accept,5.0,Accept (Poster),Accept,YES,0.0,0.0,4.0,8.0,4.0,4.0,,,
31,rajioNWfRs,6.0,Accept,6.67,Accept (Poster),Accept,YES,0.0,0.0,6.0,8.0,6.0,,,,
32,DZUehXNiBn,4.75,Accept,4.0,Withdrawn (treated as Reject),Reject,NO,0.0,0.0,4.0,2.0,4.0,6.0,,,
33,BDNctVKwuD,5.25,Accept,1.33,Reject,Reject,NO,0.0,0.0,2.0,2.0,0.0,,,,
34,d2pUyiXwcm,6.0,Accept,4.5,Accept (Poster),Accept,YES,0.0,0.0,4.0,2.0,8.0,4.0,,,
35,A4Us8jxVGq,6.0,Accept,7.2,Accept (Oral),Accept,YES,0.0,0.0,8.0,6.0,6.0,8.0,8.0,,
