paper_id,pred_score,gt_avg_score,gt_binary,gt_decision
QnuJR7qA3z,4,4.50,Reject,Reject
mkl9iIXIr2,6,5.33,Accept,Accept (Poster)
0zKfU1rsXd,6,5.00,Accept,Accept (Poster)
CTEXdHB1BB,6,5.00,Accept,Accept (Poster)
D5PJX02Jki,6,6.00,Accept,Accept (Poster)
v4bQPw4aTW,4,4.50,Reject,Reject
5asbtzIVpS,6,5.50,Accept,Accept (Poster)
M14YpuTejd,4,4.00,Reject,Withdrawn (treated as Reject)
zKQSyT7a7n,4,6.00,Reject,Reject
TX4k7BF6aO,6,5.33,Accept,Accept (Poster)
oGbzk8xuVT,4,4.00,Reject,Reject
FEqZmGl36g,4,4.80,Reject,Reject
