paper_id,pred_score,gt_avg_score,gt_binary,gt_decision
wkVsKDnl4s,2,1.00,Reject,Reject
KAZpuq2W4Y,2,2.67,Reject,Reject
2hTLJEgCbv,2,1.00,Reject,Reject
FkTEc3XEL6,2,0.50,Reject,Withdrawn (treated as Reject)
AdfEHMueyc,2,1.50,Reject,Reject
ao7VBbvWIK,2,1.00,Reject,Withdrawn (treated as Reject)
VK5G3Ff4Ty,4,2.50,Reject,Reject
0cbUKCyBsH,4,3.50,Reject,Reject
NfO2Lt2WY7,4,2.00,Reject,Reject
Iq1fNZus2W,4,3.00,Reject,Withdrawn (treated as Reject)
W42oLSwI9p,4,5.00,Reject,Reject
QnuJR7qA3z,4,4.50,Reject,Reject
41JeFWdVFa,4,4.67,Reject,Reject
khHNHzRjMy,4,3.00,Reject,Reject
GMlZt4fZSY,6,7.00,Accept,Accept (Poster)
UDIYU1X3vC,6,4.80,Accept,Accept (Poster)
HA8vzzT6Ax,6,6.67,Accept,Accept (Poster)
NFB4QGGS65,6,6.50,Accept,Accept (Poster)
0zKfU1rsXd,6,5.00,Accept,Accept (Poster)
4VW9HVCRw0,6,7.00,Accept,Accept (Poster)
ZMzha5gbnF,6,7.00,Accept,Accept (Poster)
bwtiK0yjuK,6,5.33,Accept,Accept (Poster)
A4Us8jxVGq,8,7.20,Accept,Accept (Oral)
kpLRYtPGt3,8,7.00,Accept,Accept (Oral)
Xpj0yeMhpz,8,7.00,Accept,Accept (Poster)
MQmrcX5jnk,8,6.00,Accept,Accept (Poster)
FtL9eEmU6v,8,7.50,Accept,Accept (Oral)
txiGUfI4yF,8,7.33,Accept,Accept (Poster)
TgLW2DiRDG,8,7.50,Accept,Accept (Oral)
ck0aZTAnwK,8,7.50,Accept,Accept (Oral)
