paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
05hNleYOcG,4,,2.50,Accept (Poster),Accept,,0.0000,0.0000,2.0,4.0,2.0,2.0,,,
0TmVqOpBbK,6,,6.50,Accept (Poster),Accept,,0.0000,0.0000,6.0,8.0,4.0,8.0,,,
0aBAAS0rRT,4,,5.33,Accept (Poster),Accept,,0.0000,0.0000,6.0,4.0,6.0,,,,
0cbUKCyBsH,4,,3.50,Reject,Reject,,0.0000,0.0000,4.0,2.0,4.0,4.0,,,
0kHbD6ad07,6,,5.00,Accept (Poster),Accept,,0.0000,0.0000,4.0,4.0,6.0,6.0,,,
0nvQ5kHXf4,6,,6.00,Accept (Oral),Accept,,0.0000,0.0000,6.0,6.0,6.0,,,,
0obDxMfeYu,4,,3.20,Reject,Reject,,0.0000,0.0000,2.0,2.0,4.0,2.0,6.0,,
0xHWd4CUaX,4,,2.00,Reject,Reject,,0.0000,0.0000,0.0,2.0,4.0,2.0,,,
0zKfU1rsXd,6,,5.00,Accept (Poster),Accept,,0.0000,0.0000,4.0,4.0,6.0,6.0,,,
173Pq3F31r,4,,5.50,Accept (Poster),Accept,,0.0000,0.0000,8.0,8.0,4.0,2.0,,,
1AYy3T3Xjk,4,,2.50,Reject,Reject,,0.0000,0.0000,2.0,4.0,2.0,2.0,,,
1CR1MTIgmq,2,,0.00,Reject,Reject,,0.0000,0.0000,0.0,0.0,0.0,,,,
1E4Bltg6Xb,4,,4.67,Accept (Poster),Accept,,0.0000,0.0000,6.0,6.0,2.0,,,,
1EdAn5gMVv,4,,5.00,Reject,Reject,,0.0000,0.0000,6.0,8.0,2.0,4.0,,,
1FCZ4f8dAY,6,,7.00,Accept (Poster),Accept,,0.0000,0.0000,10.0,4.0,8.0,6.0,,,
1j0ormf8uI,4,,5.20,Accept (Poster),Accept,,0.0000,0.0000,8.0,4.0,6.0,6.0,2.0,,
20DsUSauCj,6,,3.33,Reject,Reject,,0.0000,0.0000,2.0,4.0,4.0,,,,
23Ea4fVGiI,4,,0.67,Reject,Reject,,0.0000,0.0000,2.0,0.0,0.0,,,,
2EQPpEZtEK,4,,3.33,Reject,Reject,,0.0000,0.0000,2.0,4.0,4.0,,,,
2PJkG6aV4A,4,,6.00,Reject,Reject,,0.0000,0.0000,4.0,8.0,8.0,4.0,,,
2cq8FyBfDk,4,,3.20,Reject,Reject,,0.0000,0.0000,2.0,0.0,4.0,4.0,6.0,,
2eAGrunxVz,8,,7.50,Accept (Oral),Accept,,0.0000,0.0000,8.0,8.0,8.0,6.0,,,
