paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
65Ai8mLfjI,6.5,Accept,5.5,Accept (Poster),Accept,YES,0.0,0.0,4.0,8.0,6.0,4.0,,,
CQ0U1wZYoy,7.0,Accept,4.0,Accept (Poster),Accept,YES,0.0,0.0,2.0,4.0,4.0,4.0,6.0,,
ZNAY3ivd62,6.5,Accept,4.0,Reject,Reject,NO,0.0,0.0,2.0,4.0,6.0,4.0,,,
HwyYpLxY0G,5.5,Reject,0.5,Reject,Reject,YES,0.0,0.0,2.0,0.0,0.0,0.0,,,
2za3iNkwXn,6.5,Accept,4.4,Accept (Poster),Accept,YES,0.0,0.0,4.0,4.0,4.0,4.0,6.0,,
cSpjHOf04S,7.0,Accept,5.0,Accept (Poster),Accept,YES,0.0,0.0,2.0,4.0,8.0,6.0,,,
khHNHzRjMy,5.0,Reject,3.0,Reject,Reject,YES,0.0,0.0,6.0,2.0,2.0,2.0,,,
USyGD0eUod,7.0,Accept,6.0,Accept (Poster),Accept,YES,0.0,0.0,6.0,8.0,4.0,,,,
RlMCc0JTu4,2.0,Reject,0.0,Reject,Reject,YES,0.0,0.0,0.0,0.0,0.0,0.0,,,
eETr3lrOQB,6.0,Accept,4.5,Accept (Poster),Accept,YES,0.0,0.0,4.0,8.0,2.0,4.0,,,
dCtkwjkK0E,5.0,Reject,2.0,Reject,Reject,YES,0.0,0.0,2.0,2.0,2.0,2.0,,,
55GsILa8c9,6.0,Accept,6.0,Reject,Reject,NO,0.0,0.0,6.0,4.0,6.0,8.0,,,
ao7VBbvWIK,3.0,Reject,1.0,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,2.0,0.0,,,,,
mkl9iIXIr2,7.0,Accept,5.33,Accept (Poster),Accept,YES,0.0,0.0,4.0,6.0,6.0,,,,
Olc7XhgstJ,6.5,Accept,4.0,Reject,Reject,NO,0.0,0.0,2.0,4.0,4.0,6.0,,,
TX4k7BF6aO,6.5,Accept,5.33,Accept (Poster),Accept,YES,0.0,0.0,4.0,4.0,8.0,,,,
0aBAAS0rRT,6.0,Accept,5.33,Accept (Poster),Accept,YES,0.0,0.0,6.0,4.0,6.0,,,,
UJ2UUjT2ko,7.0,Accept,8.0,Accept (Poster),Accept,YES,0.0,0.0,8.0,8.0,8.0,,,,
41JeFWdVFa,6.0,Accept,4.67,Reject,Reject,NO,0.0,0.0,6.0,6.0,2.0,,,,
6P5sAycAQr,5.0,Reject,3.0,Reject,Reject,YES,0.0,0.0,6.0,2.0,2.0,2.0,,,
ocmGsqQWG2,5.5,Reject,2.0,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,2.0,2.0,2.0,2.0,,,
cP9ciYglnI,6.5,Accept,4.0,Reject,Reject,NO,0.0,0.0,6.0,4.0,2.0,,,,
QryPmx2MNh,5.5,Accept,3.5,Withdrawn (treated as Reject),Reject,NO,0.0,0.0,4.0,4.0,2.0,4.0,,,
JEYWpFGzvn,7.0,Accept,7.33,Accept (Oral),Accept,YES,0.0,0.0,8.0,6.0,8.0,,,,
R0ZKcQlF2C,5.0,Reject,4.0,Reject,Reject,YES,0.0,0.0,4.0,2.0,6.0,,,,
H1s6SBhzlg,7.0,Accept,4.0,Reject,Reject,NO,0.0,0.0,4.0,4.0,4.0,4.0,,,
VSDV0SWwOC,6.0,Accept,6.67,Accept (Poster),Accept,YES,0.0,0.0,8.0,4.0,8.0,,,,
hQZQVLJrH9,5.5,Reject,4.5,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,4.0,2.0,6.0,6.0,,,
mytIKuRsSE,7.0,Accept,7.5,Accept (Oral),Accept,YES,0.0,0.0,8.0,8.0,6.0,8.0,,,
FF9QVQduAu,6.5,Accept,5.0,Accept (Poster),Accept,YES,0.0,0.0,2.0,6.0,4.0,8.0,,,
x6bG2Hoqdf,7.0,Accept,5.5,Accept (Poster),Accept,YES,0.0,0.0,8.0,2.0,8.0,4.0,,,
U2SJE6W3wT,6.5,Accept,5.5,Accept (Poster),Accept,YES,0.0,0.0,4.0,6.0,6.0,6.0,,,
PFhrOUJZ5o,6.5,Accept,5.0,Reject,Reject,NO,0.0,0.0,4.0,4.0,6.0,6.0,,,
e9JphzQ5Gr,6.5,Accept,4.0,Reject,Reject,NO,0.0,0.0,6.0,2.0,6.0,4.0,2.0,,
oiz0QHejVj,6.0,Accept,4.5,Reject,Reject,NO,0.0,0.0,4.0,6.0,4.0,4.0,,,
qclNnbjxNJ,7.5,Accept,7.5,Accept (Poster),Accept,YES,0.0,0.0,8.0,8.0,8.0,6.0,,,
WxTlAbRUE6,6.5,Accept,2.5,Reject,Reject,NO,0.0,0.0,2.0,4.0,2.0,2.0,,,
W42oLSwI9p,5.5,Reject,5.0,Reject,Reject,YES,0.0,0.0,4.0,4.0,6.0,6.0,,,
khBHJz2wcV,6.5,Accept,3.0,Accept (Poster),Accept,YES,0.0,0.0,0.0,2.0,6.0,4.0,,,
5H8kxW0Efk,6.0,Accept,4.0,Reject,Reject,NO,0.0,0.0,6.0,4.0,2.0,,,,
Vsgq2ldr4K,6.5,Accept,7.5,Accept (Oral),Accept,YES,0.0,0.0,8.0,8.0,6.0,8.0,,,
GODFBZhFcX,7.0,Accept,4.5,Accept (Poster),Accept,YES,0.0,0.0,6.0,2.0,6.0,4.0,,,
t33kMzEAg8,6.0,Accept,4.4,Accept (Poster),Accept,YES,0.0,0.0,6.0,4.0,6.0,4.0,2.0,,
ZMzha5gbnF,7.0,Accept,7.0,Accept (Poster),Accept,YES,0.0,0.0,6.0,6.0,8.0,8.0,,,
Rd0yhdfueL,5.0,Reject,1.0,Reject,Reject,YES,0.0,0.0,2.0,0.0,0.0,2.0,,,
BGEdvJ35PV,7.0,Accept,3.33,Reject,Reject,NO,0.0,0.0,4.0,2.0,4.0,,,,
BDNctVKwuD,7.0,Accept,1.33,Reject,Reject,NO,0.0,0.0,2.0,2.0,0.0,,,,
dwgtYTuSaS,5.0,Reject,3.0,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,4.0,2.0,2.0,4.0,,,
7gLNA6nT5d,5.5,Reject,3.2,Reject,Reject,YES,0.0,0.0,2.0,4.0,6.0,2.0,2.0,,
ZBhZT307xx,6.5,Accept,3.0,Withdrawn (treated as Reject),Reject,NO,0.0,0.0,4.0,2.0,4.0,2.0,,,
KDIgNmK8YT,5.5,Reject,2.5,Reject,Reject,YES,0.0,0.0,2.0,2.0,4.0,2.0,,,
LD6B7AvkZq,6.0,Accept,3.0,Reject,Reject,NO,0.0,0.0,4.0,4.0,2.0,2.0,,,
NFB4QGGS65,7.0,Accept,6.5,Accept (Poster),Accept,YES,0.0,0.0,8.0,8.0,4.0,6.0,,,
s7gSTR2AqA,7.5,Accept,6.0,Accept (Poster),Accept,YES,0.0,0.0,4.0,8.0,6.0,,,,
RDAhLHEHDm,6.0,Reject,6.5,Accept (Poster),Accept,NO,0.0,0.0,8.0,6.0,6.0,6.0,,,
ppXAVexrAM,6.0,Accept,4.0,Reject,Reject,NO,0.0,0.0,4.0,4.0,6.0,2.0,,,
4VW9HVCRw0,6.5,Accept,7.0,Accept (Poster),Accept,YES,0.0,0.0,8.0,8.0,6.0,6.0,,,
SkmkGKEZ1U,4.5,Reject,0.5,Reject,Reject,YES,0.0,0.0,0.0,0.0,2.0,0.0,,,
CrCPeM5fRB,5.0,Reject,3.5,Reject,Reject,YES,0.0,0.0,4.0,2.0,4.0,4.0,,,
8KcjEygedc,6.5,Accept,7.5,Accept (Poster),Accept,YES,0.0,0.0,8.0,8.0,6.0,8.0,,,
0obDxMfeYu,6.0,Accept,3.2,Reject,Reject,NO,0.0,0.0,2.0,2.0,4.0,2.0,6.0,,
36CzrZYEch,6.0,Accept,4.0,Reject,Reject,NO,0.0,0.0,2.0,2.0,6.0,6.0,,,
FtL9eEmU6v,5.5,Reject,7.5,Accept (Oral),Accept,NO,0.0,0.0,6.0,10.0,8.0,6.0,,,
xDO0239YOm,4.0,Reject,1.33,Reject,Reject,YES,0.0,0.0,2.0,0.0,2.0,,,,
piylyBPSau,6.5,Accept,4.0,Reject,Reject,NO,0.0,0.0,2.0,4.0,4.0,6.0,,,
wkVsKDnl4s,5.0,Reject,1.0,Reject,Reject,YES,0.0,0.0,2.0,0.0,2.0,0.0,,,
JEN4nsDgh9,5.5,Reject,3.5,Reject,Reject,YES,0.0,0.0,4.0,4.0,2.0,4.0,,,
WgMZPsdJmC,2.5,Reject,0.5,Reject,Reject,YES,0.0,0.0,0.0,0.0,2.0,0.0,,,
X2yzXtH4wp,6.0,Accept,5.33,Accept (Poster),Accept,YES,0.0,0.0,6.0,6.0,4.0,,,,
Wes9HF3ppt,6.0,Accept,5.0,Reject,Reject,NO,0.0,0.0,4.0,6.0,6.0,4.0,,,
cEXEmyW77N,6.5,Accept,5.0,Accept (Poster),Accept,YES,0.0,0.0,4.0,6.0,6.0,4.0,,,
c339hUw3cy,7.0,Accept,4.0,Reject,Reject,NO,0.0,0.0,6.0,2.0,6.0,2.0,,,
CFuNu8dK4s,6.0,Accept,4.0,Reject,Reject,NO,0.0,0.0,6.0,4.0,2.0,4.0,,,
i9q9xDMjG7,5.5,Accept,6.5,Accept (Poster),Accept,YES,0.0,0.0,8.0,6.0,6.0,6.0,,,
ck0aZTAnwK,6.5,Accept,7.5,Accept (Oral),Accept,YES,0.0,0.0,6.0,8.0,8.0,8.0,,,
cVX3VqO8BO,6.0,Accept,5.5,Accept (Poster),Accept,YES,0.0,0.0,6.0,2.0,8.0,6.0,,,
jLO4pSi5Pt,7.0,Accept,5.0,Accept (Poster),Accept,YES,0.0,0.0,4.0,6.0,4.0,6.0,,,
4Mvdn1m861,6.0,Accept,3.5,Reject,Reject,NO,0.0,0.0,2.0,4.0,4.0,4.0,,,
