paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
JhziZbaefH,3.5,Reject,2.50,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,2.0,2.0,4.0,2.0,,,
NfO2Lt2WY7,5.0,Reject,2.00,Reject,Reject,YES,0.0000,0.0000,6.0,0.0,0.0,2.0,,,
IU4rqTlpRb,5.5,Reject,5.33,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,4.0,,,,
40sQXprYlm,5.0,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,4.0,4.0,8.0,4.0,,,
zwfpyw345l,2.5,Reject,0.50,Reject,Reject,YES,0.0000,0.0000,0.0,0.0,2.0,0.0,,,
4hkMvkzai5,5.0,Reject,2.80,Reject,Reject,YES,0.0000,0.0000,4.0,2.0,2.0,4.0,2.0,,
s7oURFZTQD,4.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,4.0,4.0,,,
omg9K6lI93,5.0,Reject,1.00,Reject,Reject,YES,0.0000,0.0000,2.0,0.0,2.0,0.0,,,
GE0b5aQAvm,4.0,Reject,2.67,Reject,Reject,YES,0.0000,0.0000,2.0,4.0,2.0,,,,
OPFE1zPYbU,3.0,Reject,1.00,Reject,Reject,YES,0.0000,0.0000,0.0,2.0,0.0,2.0,,,
ppXAVexrAM,5.0,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,4.0,4.0,6.0,2.0,,,
DZUehXNiBn,5.0,Reject,4.00,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,4.0,2.0,4.0,6.0,,,
Rd0yhdfueL,4.0,Reject,1.00,Reject,Reject,YES,0.0000,0.0000,2.0,0.0,0.0,2.0,,,
fD9YRHazW3,5.5,Reject,5.50,Accept (Poster),Accept,NO,0.0000,0.0000,2.0,8.0,6.0,6.0,,,
41JeFWdVFa,4.5,Reject,4.67,Reject,Reject,YES,0.0000,0.0000,6.0,6.0,2.0,,,,
W42oLSwI9p,5.5,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,4.0,4.0,6.0,6.0,,,
0K4jNe8ik9,4.5,Reject,1.00,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,0.0,0.0,2.0,2.0,,,
m7gNW26Zih,4.0,Reject,0.00,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,0.0,0.0,0.0,0.0,,,
NcvmuiLuZn,4.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,4.0,2.0,2.0,2.0,,,
6Y9NP1qhoM,4.5,Reject,5.00,Accept (Poster),Accept,NO,0.0000,0.0000,4.0,6.0,8.0,2.0,,,
4VW9HVCRw0,5.5,Reject,7.00,Accept (Poster),Accept,NO,0.0000,0.0000,8.0,8.0,6.0,6.0,,,
TADsPhlp32,5.0,Reject,2.50,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,2.0,2.0,2.0,4.0,,,
t5Nd4HiI3E,5.0,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,4.0,2.0,4.0,6.0,,,
khBHJz2wcV,5.0,Accept,3.00,Accept (Poster),Accept,YES,0.0000,0.0000,0.0,2.0,6.0,4.0,,,
WhO6Km5Rku,4.0,Reject,4.00,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,4.0,4.0,2.0,6.0,,,
KAZpuq2W4Y,5.0,Reject,2.67,Reject,Reject,YES,0.0000,0.0000,2.0,4.0,2.0,,,,
pn2H6YeOv2,5.5,Reject,5.50,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,4.0,6.0,6.0,,,
aiM6bRd6bG,4.0,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,4.0,2.0,6.0,4.0,,,
LD6B7AvkZq,5.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,4.0,4.0,2.0,2.0,,,
c2ozZYoZFd,6.5,Accept,2.67,Reject,Reject,NO,0.0000,0.0000,2.0,4.0,2.0,,,,
0cbUKCyBsH,4.5,Reject,3.50,Reject,Reject,YES,0.0000,0.0000,4.0,2.0,4.0,4.0,,,
IdJakw2jta,5.0,Reject,4.50,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,4.0,6.0,4.0,4.0,,,
f4B4ohWO53,4.0,Reject,3.33,Reject,Reject,YES,0.0000,0.0000,2.0,4.0,4.0,,,,
GFWfR4G5fm,6.0,Reject,4.50,Reject,Reject,YES,0.0000,0.0000,4.0,4.0,2.0,8.0,,,
SsUjdSVdUl,5.5,Reject,5.00,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,4.0,4.0,6.0,,,
MwuSvrthXq,6.0,Accept,4.00,Reject,Reject,NO,0.0000,0.0000,6.0,4.0,2.0,4.0,,,
cu6xWUNOzQ,5.0,Reject,6.67,Reject,Reject,YES,0.0000,0.0000,10.0,4.0,6.0,,,,
Yo7eG3lC3y,6.0,Accept,4.50,Reject,Reject,NO,0.0000,0.0000,6.0,6.0,4.0,2.0,,,
lWdxX5s9T1,6.0,Accept,4.50,Accept (Poster),Accept,YES,0.0000,0.0000,4.0,6.0,4.0,4.0,,,
d2pUyiXwcm,6.0,Accept,4.50,Accept (Poster),Accept,YES,0.0000,0.0000,4.0,2.0,8.0,4.0,,,
A4Us8jxVGq,5.5,Reject,7.20,Accept (Oral),Accept,NO,0.0000,0.0000,8.0,6.0,6.0,8.0,8.0,,
rajioNWfRs,5.0,Reject,6.67,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,8.0,6.0,,,,
gubSyVxWdG,5.0,Reject,6.00,Accept (Poster),Accept,NO,0.0000,0.0000,8.0,2.0,8.0,6.0,,,
9wIVIjWn0F,6.0,Accept,5.50,Reject,Reject,NO,0.0000,0.0000,8.0,2.0,6.0,6.0,,,
Me0n0iESJY,4.0,Reject,6.00,Accept (Poster),Accept,NO,0.0000,0.0000,4.0,8.0,8.0,4.0,,,
gTMzRm8fb0,5.5,Accept,5.00,Accept (Poster),Accept,YES,0.0000,0.0000,4.0,8.0,4.0,4.0,,,
BDNctVKwuD,5.5,Reject,1.33,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,0.0,,,,
RlMCc0JTu4,1.0,Reject,0.00,Reject,Reject,YES,0.0000,0.0000,0.0,0.0,0.0,0.0,,,
MQmrcX5jnk,6.0,Accept,6.00,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,8.0,8.0,6.0,2.0,,
WxTlAbRUE6,5.5,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,2.0,4.0,2.0,2.0,,,
ocmGsqQWG2,3.5,Reject,2.00,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,2.0,2.0,2.0,2.0,,,
5asbtzIVpS,6.0,Accept,5.50,Accept (Poster),Accept,YES,0.0000,0.0000,4.0,6.0,4.0,8.0,,,
RpDJz00zNh,5.5,Reject,4.50,Reject,Reject,YES,0.0000,0.0000,4.0,6.0,4.0,4.0,,,
55GsILa8c9,5.5,Reject,6.00,Reject,Reject,YES,0.0000,0.0000,6.0,4.0,6.0,8.0,,,
i9q9xDMjG7,5.0,Reject,6.50,Accept (Poster),Accept,NO,0.0000,0.0000,8.0,6.0,6.0,6.0,,,
kMfVTka2WB,3.0,Reject,2.00,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,2.0,2.0,,,
OUQ8kLRK3m,5.5,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,6.0,2.0,2.0,6.0,,,
VjGU55hEwV,5.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,2.0,4.0,,,
Hf7jMztvve,4.0,Reject,4.67,Reject,Reject,YES,0.0000,0.0000,2.0,6.0,6.0,,,,
oiz0QHejVj,5.5,Accept,4.50,Reject,Reject,NO,0.0000,0.0000,4.0,6.0,4.0,4.0,,,
7L7kmHHfgf,1.0,Accept,5.50,Accept (Poster),Accept,YES,0.0000,0.0000,4.0,6.0,6.0,6.0,,,
xVB9AivJa5,4.0,Reject,1.33,Reject,Reject,YES,0.0000,0.0000,0.0,2.0,2.0,,,,
2PJkG6aV4A,5.5,Reject,6.00,Reject,Reject,YES,0.0000,0.0000,4.0,8.0,8.0,4.0,,,
PFhrOUJZ5o,5.5,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,4.0,4.0,6.0,6.0,,,
eETr3lrOQB,5.0,Reject,4.50,Accept (Poster),Accept,NO,0.0000,0.0000,4.0,8.0,2.0,4.0,,,
kpLRYtPGt3,7.0,Accept,7.00,Accept (Oral),Accept,YES,0.0000,0.0000,6.0,8.0,6.0,8.0,,,
yBpzF8hp3J,6.5,Accept,6.50,Accept (Oral),Accept,YES,0.0000,0.0000,6.0,6.0,6.0,8.0,,,
