paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
4VW9HVCRw0,7.0,Accept,7.00,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,8.0,6.0,6.0,,,
41JeFWdVFa,5.0,Reject,4.67,Reject,Reject,YES,0.0000,0.0000,6.0,6.0,2.0,,,,
MwuSvrthXq,6.0,Accept,4.00,Reject,Reject,NO,0.0000,0.0000,6.0,4.0,2.0,4.0,,,
ppXAVexrAM,5.5,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,4.0,4.0,6.0,2.0,,,
40sQXprYlm,5.0,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,4.0,4.0,8.0,4.0,,,
KAZpuq2W4Y,5.5,Accept,2.67,Reject,Reject,NO,0.0000,0.0000,2.0,4.0,2.0,,,,
OPFE1zPYbU,3.5,Reject,1.00,Reject,Reject,YES,0.0000,0.0000,0.0,2.0,0.0,2.0,,,
m7gNW26Zih,4.5,Reject,0.00,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,0.0,0.0,0.0,0.0,,,
zwfpyw345l,3.5,Reject,0.50,Reject,Reject,YES,0.0000,0.0000,0.0,0.0,2.0,0.0,,,
aiM6bRd6bG,5.5,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,4.0,2.0,6.0,4.0,,,
t5Nd4HiI3E,-100.0,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,4.0,2.0,4.0,6.0,,,
WhO6Km5Rku,4.5,Reject,4.00,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,4.0,4.0,2.0,6.0,,,
0K4jNe8ik9,4.5,Reject,1.00,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,0.0,0.0,2.0,2.0,,,
9wIVIjWn0F,6.5,Accept,5.50,Reject,Reject,NO,0.0000,0.0000,8.0,2.0,6.0,6.0,,,
MQmrcX5jnk,6.5,Accept,6.00,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,8.0,8.0,6.0,2.0,,
6Y9NP1qhoM,5.5,Reject,5.00,Accept (Poster),Accept,NO,0.0000,0.0000,4.0,6.0,8.0,2.0,,,
GFWfR4G5fm,5.5,Reject,4.50,Reject,Reject,YES,0.0000,0.0000,4.0,4.0,2.0,8.0,,,
omg9K6lI93,3.0,Reject,1.00,Reject,Reject,YES,0.0000,0.0000,2.0,0.0,2.0,0.0,,,
LD6B7AvkZq,4.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,4.0,4.0,2.0,2.0,,,
cu6xWUNOzQ,5.5,Reject,6.67,Reject,Reject,YES,0.0000,0.0000,10.0,4.0,6.0,,,,
nHrYBGujps,5.5,Accept,7.50,Accept (Oral),Accept,YES,0.0000,0.0000,6.0,8.0,8.0,8.0,,,
