paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
JVFRwCx3Dy,5.5,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,3.0,3.0,,,
ESM2ixIp3X,5.0,Reject,3.50,Reject,Reject,YES,0.0000,0.0000,3.0,5.0,3.0,3.0,,,
GQ1Tc3vHbt,6.0,Accept,6.50,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,6.0,6.0,8.0,,,
06ZvHHBR0i,3.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,3.0,1.0,3.0,3.0,,,
Vi1PJjvEdh,4.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,1.0,3.0,,,
Ij9ilPh36h,6.0,Accept,6.25,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,5.0,8.0,6.0,,,
I1VCj1l1Zn,4.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,,,,
L3tW9nbcEM,2.0,Reject,1.50,Reject,Reject,YES,0.0000,0.0000,3.0,1.0,1.0,1.0,,,
qZz7PKt4bE,3.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,1.0,3.0,5.0,,,,
ga4LyaucKr,5.5,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,1.0,,,
BWuBDdXVnH,6.0,Accept,6.25,Accept (Poster),Accept,YES,0.0000,0.0000,5.0,6.0,8.0,6.0,,,
IFOgfaX2Fj,2.5,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,3.0,5.0,1.0,1.0,,,
HozsY9Gdcl,5.0,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,5.0,,,,
gAEEjGv5Oa,6.0,Accept,4.50,Reject,Reject,NO,0.0000,0.0000,3.0,6.0,6.0,3.0,,,
H9oYYou34X,4.5,Reject,5.25,Reject,Reject,YES,0.0000,0.0000,3.0,5.0,5.0,8.0,,,
lvDHfy169r,5.0,Reject,5.75,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,8.0,5.0,,,
1c73HCZpbo,3.5,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,3.0,3.0,,,
gbJNFxcicC,2.0,Reject,1.67,Reject,Reject,YES,0.0000,0.0000,1.0,3.0,1.0,,,,
KijslFbfOL,4.5,Reject,7.50,Accept (Spotlight),Accept,NO,0.0000,0.0000,8.0,8.0,8.0,6.0,,,
GcbhbZsgiu,6.0,Accept,5.00,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,3.0,6.0,,,,
IqHeDe2lbl,5.5,Reject,7.25,Accept (Spotlight),Accept,NO,0.0000,0.0000,8.0,8.0,5.0,8.0,,,
uBxN9JA29p,3.5,Reject,4.25,Reject,Reject,YES,0.0000,0.0000,3.0,5.0,3.0,6.0,,,
sruGNQHd7t,3.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,1.0,5.0,3.0,,,,
qxRoo7ULCo,5.0,Reject,7.50,Accept (Spotlight),Accept,NO,0.0000,0.0000,8.0,8.0,8.0,6.0,,,
friHAl5ofG,6.0,Accept,7.50,Accept (Spotlight),Accept,YES,0.0000,0.0000,8.0,8.0,6.0,8.0,,,
VaowElpVzd,5.5,Accept,7.50,Accept (Spotlight),Accept,YES,0.0000,0.0000,10.0,6.0,8.0,6.0,,,
SRpq5OBpED,6.0,Accept,7.50,Accept (Spotlight),Accept,YES,0.0000,0.0000,8.0,8.0,8.0,6.0,,,
gzxDjnvBDa,6.5,Accept,7.00,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,8.0,6.0,6.0,,,
SThJXvucjQ,6.0,Accept,6.67,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,6.0,8.0,,,,
uy9oR0nYCW,3.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,1.0,3.0,5.0,1.0,,,
8VG8tpPZhe,5.5,Reject,7.00,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,8.0,8.0,6.0,,,
