paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
qo21ZlfNu6,7.0,Accept,7.00,Accept,Accept,YES,0.0000,0.0000,8.0,8.0,5.0,,,,
yu1vqQqKkx,5.5,Reject,6.25,Accept,Accept,NO,0.0000,0.0000,6.0,8.0,5.0,6.0,,,
YCPDFfmkFr,4.5,Reject,7.00,Accept,Accept,NO,0.0000,0.0000,6.0,8.0,8.0,6.0,,,
dsUB4bst9S,5.5,Reject,6.00,Accept,Accept,NO,0.0000,0.0000,8.0,5.0,6.0,5.0,6.0,,
JnYaF3vv3G,6.5,Accept,5.75,Accept,Accept,YES,0.0000,0.0000,6.0,6.0,5.0,6.0,,,
BEyEziZ4R6,4.0,Reject,6.33,Accept,Accept,NO,0.0000,0.0000,6.0,8.0,5.0,,,,
E2ePtpKJpy,2.0,Reject,3.50,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,5.0,,,
MD4ifad9v5,5.0,Reject,4.67,Reject,Reject,YES,0.0000,0.0000,3.0,5.0,6.0,,,,
3ARfhjGfdF,5.0,Reject,5.50,Reject,Reject,YES,0.0000,0.0000,3.0,8.0,6.0,5.0,,,
fpYIlzOpIA,4.5,Reject,5.33,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,5.0,,,,
pAQzEY7M03,4.5,Reject,6.67,Accept,Accept,NO,0.0000,0.0000,8.0,6.0,6.0,,,,
c3i8uRSE9h,4.0,Reject,3.75,Reject,Reject,YES,0.0000,0.0000,6.0,3.0,3.0,3.0,,,
Jg8yHRPU7l,3.5,Reject,3.50,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,3.0,3.0,,,
Vja3ecieXY,5.0,Reject,5.50,Accept,Accept,NO,0.0000,0.0000,5.0,6.0,5.0,6.0,,,
mmCIov21zD,5.0,Reject,6.00,Reject,Reject,YES,0.0000,0.0000,5.0,8.0,5.0,6.0,,,
OcaKeyGb0K,3.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,3.0,,,
dCDX1fjrXr,3.5,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,5.0,3.0,,,
1P1nxem1jU,4.5,Reject,6.00,Reject,Reject,YES,0.0000,0.0000,8.0,6.0,5.0,5.0,,,
RDSTjtnqCg,5.0,Reject,6.25,Accept,Accept,NO,0.0000,0.0000,6.0,6.0,8.0,5.0,,,
NLAKxnnSuW,6.0,Accept,3.67,Reject,Reject,NO,0.0000,0.0000,3.0,5.0,3.0,,,,
KnYsdgeCey,5.0,Reject,4.75,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,5.0,8.0,,,
7Phicg0WAg,6.0,Accept,5.00,Reject,Reject,NO,0.0000,0.0000,5.0,5.0,5.0,,,,
6PVgHZUepm,6.0,Accept,5.67,Reject,Reject,NO,0.0000,0.0000,6.0,8.0,3.0,,,,
C9DazhfVZR,4.0,Reject,3.50,Reject,Reject,YES,0.0000,0.0000,5.0,1.0,3.0,5.0,,,
KjegfPGRde,6.5,Accept,6.00,Accept,Accept,YES,0.0000,0.0000,6.0,6.0,6.0,6.0,,,
