paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
jv2zHOalpL,3.5,Reject,6.00,Accept,Accept,NO,0.0000,0.0000,6.0,6.0,6.0,6.0,,,
l30moNjSY9,5.0,Reject,6.00,Accept,Accept,NO,0.0000,0.0000,6.0,6.0,6.0,,,,
z9UBpl4pv5,5.5,Reject,4.33,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,3.0,,,,
ikqcUzUogm,6.5,Accept,4.75,Reject,Reject,NO,0.0000,0.0000,3.0,5.0,6.0,5.0,,,
Y1XkzMJpPd,5.0,Reject,6.75,Accept,Accept,NO,0.0000,0.0000,3.0,8.0,8.0,8.0,,,
tOzCcDdH9O,5.5,Reject,6.25,Accept,Accept,NO,0.0000,0.0000,6.0,8.0,6.0,5.0,,,
KtqZrNjvjd,5.5,Reject,5.80,Reject,Reject,YES,0.0000,0.0000,6.0,6.0,6.0,5.0,6.0,,
O34CXUAZ0E,6.0,Accept,5.00,Reject,Reject,NO,0.0000,0.0000,5.0,6.0,6.0,3.0,,,
j50c2tkQUu,7.0,Accept,4.33,Reject,Reject,NO,0.0000,0.0000,5.0,3.0,5.0,,,,
0VZP2Dr9KX,5.5,Accept,5.25,Reject,Reject,NO,0.0000,0.0000,3.0,5.0,8.0,5.0,,,
OKOjkFrhSs,6.0,Accept,3.00,Reject,Reject,NO,0.0000,0.0000,3.0,3.0,3.0,3.0,,,
OzUNDnpQyd,6.5,Accept,7.00,Accept,Accept,YES,0.0000,0.0000,8.0,6.0,8.0,6.0,,,
lpt4ADbacU,7.0,Accept,4.00,Reject,Reject,NO,0.0000,0.0000,5.0,3.0,5.0,3.0,,,
poFAoivHQk,4.5,Reject,3.75,Reject,Reject,YES,0.0000,0.0000,1.0,3.0,6.0,5.0,,,
oYjPk8mqAV,7.5,Accept,8.00,Accept,Accept,YES,0.0000,0.0000,8.0,8.0,8.0,8.0,,,
AfZH9EEuRR,5.0,Reject,2.20,Reject,Reject,YES,0.0000,0.0000,1.0,1.0,3.0,3.0,3.0,,
W2Wkp9MQsF,5.0,Reject,5.75,Accept,Accept,NO,0.0000,0.0000,6.0,6.0,5.0,6.0,,,
