paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
DhHIw9Nbl1,4.5,Reject,6.25,Accept,Accept,NO,0.0000,0.0000,6.0,6.0,5.0,8.0,,,
nS2DBNydCC,5.5,Reject,4.75,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,3.0,5.0,,,
6xCgMOm9oM,5.0,Reject,4.75,Reject,Reject,YES,0.0000,0.0000,3.0,5.0,3.0,8.0,,,
LPRxGZ7Oax,5.5,Accept,5.20,Accept,Accept,YES,0.0000,0.0000,6.0,5.0,5.0,5.0,5.0,,
ws0F5NTzGw,5.5,Accept,4.50,Reject,Reject,NO,0.0000,0.0000,5.0,3.0,5.0,5.0,,,
6VhDQP7WGX,5.5,Reject,5.80,Accept,Accept,NO,0.0000,0.0000,5.0,6.0,5.0,5.0,8.0,,
a1jpdqRED9,5.0,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,3.0,8.0,6.0,3.0,,,
Ge7okBGZYi,5.0,Reject,5.25,Accept,Accept,NO,0.0000,0.0000,5.0,5.0,8.0,3.0,,,
Fk5IzauJ7F,5.5,Reject,8.00,Accept,Accept,NO,0.0000,0.0000,8.0,8.0,8.0,8.0,,,
NvSwR4IvLO,5.5,Reject,4.67,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,6.0,,,,
7Ttk3RzDeu,6.0,Accept,6.25,Accept,Accept,YES,0.0000,0.0000,8.0,8.0,1.0,8.0,,,
vcX0k4rGTt,5.5,Reject,5.75,Accept,Accept,NO,0.0000,0.0000,6.0,3.0,8.0,6.0,,,
zUDbPgskDS,5.5,Reject,3.25,Reject,Reject,YES,0.0000,0.0000,1.0,3.0,3.0,6.0,,,
ZXFJeR9Xm6,3.5,Reject,4.25,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,6.0,3.0,,,
OJsMGsO6yn,5.5,Reject,6.50,Accept,Accept,NO,0.0000,0.0000,6.0,8.0,6.0,6.0,,,
WnqD3EiylC,4.5,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,3.0,6.0,5.0,6.0,5.0,,
jFcNXJGPGh,4.5,Reject,6.00,Accept,Accept,NO,0.0000,0.0000,5.0,6.0,8.0,5.0,,,
dRXxFEY8ZE,5.5,Accept,7.50,Accept,Accept,YES,0.0000,0.0000,8.0,8.0,6.0,8.0,,,
GGlpykXDCa,4.5,Reject,8.00,Accept,Accept,NO,0.0000,0.0000,8.0,8.0,8.0,,,,
WRKVA3TgSv,5.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,3.0,,,
RfCGvKBmMq,4.5,Reject,5.75,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,6.0,6.0,,,
tfyLS1cB5W,5.5,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,6.0,3.0,3.0,,,,
pIVOSU7TFQ,5.5,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,6.0,3.0,,,
QhXisLeIqR,5.5,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,5.0,5.0,,,
BSGQHpGI1Q,2.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,5.0,1.0,3.0,,,
MCUvAc1GTg,5.5,Reject,5.50,Reject,Reject,YES,0.0000,0.0000,5.0,8.0,6.0,3.0,,,
5JWAOLBxwp,5.5,Reject,5.80,Accept,Accept,NO,0.0000,0.0000,5.0,6.0,6.0,6.0,6.0,,
LCQ7YTzgRQ,5.5,Reject,6.25,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,8.0,6.0,,,
csbf1p8xUq,6.5,Accept,7.33,Accept,Accept,YES,0.0000,0.0000,8.0,6.0,8.0,,,,
tpD1rs25Uu,6.0,Reject,6.33,Accept,Accept,NO,0.0000,0.0000,5.0,6.0,8.0,,,,
09JVxsEZPf,5.5,Reject,4.80,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,6.0,5.0,5.0,,
ZuOXuS7yDw,5.5,Accept,6.00,Reject,Reject,NO,0.0000,0.0000,5.0,8.0,5.0,6.0,,,
Bx5kcMkb8l,3.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,,,,
uIv5SaxXLv,5.0,Reject,4.50,Reject,Reject,YES,0.0000,0.0000,3.0,5.0,5.0,5.0,,,
3pgJNIx3gc,5.0,Reject,3.67,Reject,Reject,YES,0.0000,0.0000,3.0,5.0,3.0,,,,
b7ROBvgNkE,4.5,Reject,6.25,Reject,Reject,YES,0.0000,0.0000,5.0,8.0,6.0,6.0,,,
9cQtXpRshE,6.5,Accept,5.50,Accept,Accept,YES,0.0000,0.0000,3.0,8.0,5.0,6.0,,,
FNGZqMp6Fi,4.5,Reject,2.20,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,1.0,3.0,1.0,,
yIdCQFvbYe,5.0,Reject,5.83,Reject,Reject,YES,0.0000,0.0000,8.0,5.0,3.0,8.0,6.0,5.0,
PaOuEBMvTG,5.5,Reject,5.25,Reject,Reject,YES,0.0000,0.0000,5.0,8.0,5.0,3.0,,,
AqueuvXErD,5.0,Borderline,3.50,Reject,Reject,NO,0.0000,0.0000,3.0,5.0,3.0,3.0,,,
0NAVeUm7sk,6.0,Reject,6.75,Accept,Accept,NO,0.0000,0.0000,8.0,6.0,8.0,5.0,,,
Eaw1ZrsNUN,4.5,Reject,6.25,Reject,Reject,YES,0.0000,0.0000,6.0,8.0,6.0,5.0,,,
Og7ZZd7hDm,4.0,Reject,3.25,Reject,Reject,YES,0.0000,0.0000,3.0,1.0,3.0,6.0,,,
6PjS5RnxeK,5.5,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,6.0,8.0,,,
Q9Z0c1Rb5i,6.0,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,6.0,3.0,,,
trV41CpAK4,6.0,Reject,6.50,Accept,Accept,NO,0.0000,0.0000,6.0,8.0,6.0,6.0,,,
DF5TVzpTW0,5.5,Reject,6.00,Reject,Reject,YES,0.0000,0.0000,6.0,6.0,6.0,6.0,,,
NYPJz0CL5X,4.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,1.0,3.0,5.0,,,,
iOltCu4TPS,6.0,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,5.0,8.0,5.0,3.0,
qVBTlo0T4s,5.5,Reject,4.75,Reject,Reject,YES,0.0000,0.0000,3.0,5.0,6.0,5.0,,,
LuLzcBsp5c,6.5,Accept,4.75,Reject,Reject,NO,0.0000,0.0000,6.0,5.0,5.0,3.0,,,
1ou5noWgHM,4.5,Reject,5.40,Reject,Reject,YES,0.0000,0.0000,5.0,6.0,5.0,5.0,6.0,,
2ET561DyPe,5.0,Reject,5.50,Accept,Accept,NO,0.0000,0.0000,5.0,5.0,6.0,6.0,,,
EhSUM1FcJw,5.5,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,3.0,5.0,3.0,5.0,,,
G2AMCTTpCc,5.0,Reject,3.75,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,6.0,3.0,,,
774elYc5tw,4.5,Reject,4.25,Reject,Reject,YES,0.0000,0.0000,6.0,3.0,3.0,5.0,,,
Y0wAim2F8A,6.0,Accept,3.50,Reject,Reject,NO,0.0000,0.0000,3.0,3.0,3.0,5.0,,,
T4LtGj7us1,5.0,Reject,5.50,Accept,Accept,NO,0.0000,0.0000,6.0,5.0,5.0,6.0,,,
0kvrymILfy,6.0,Accept,5.25,Reject,Reject,NO,0.0000,0.0000,3.0,8.0,5.0,5.0,,,
CKYsXi0dOV,6.0,Accept,6.25,Reject,Reject,NO,0.0000,0.0000,5.0,8.0,6.0,6.0,,,
c2OtbtZXFC,5.5,Reject,4.75,Reject,Reject,YES,0.0000,0.0000,8.0,5.0,3.0,3.0,,,
1XReHUSUp9,5.0,Reject,5.50,Reject,Reject,YES,0.0000,0.0000,8.0,3.0,5.0,6.0,,,
XgH1wfHSX8,6.5,Accept,7.50,Accept,Accept,YES,0.0000,0.0000,6.0,6.0,8.0,10.0,,,
ji6MYm4Htg,6.0,Accept,4.80,Reject,Reject,NO,0.0000,0.0000,6.0,3.0,3.0,6.0,6.0,,
FZfWQFrdBT,6.0,Accept,5.50,Reject,Reject,NO,0.0000,0.0000,5.0,6.0,5.0,6.0,,,
dmCGjPFVhF,5.5,Reject,6.00,Accept,Accept,NO,0.0000,0.0000,6.0,6.0,6.0,6.0,,,
DblHBgD0GR,5.5,Reject,5.75,Reject,Reject,YES,0.0000,0.0000,6.0,8.0,6.0,3.0,,,
DZBpVcc2Xc,6.0,Reject,4.50,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,5.0,3.0,,,
CuupjjjT3U,5.5,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,6.0,,,,
BMqBvRPDhX,5.5,Accept,6.00,Reject,Reject,NO,0.0000,0.0000,8.0,5.0,5.0,6.0,,,
qpz84ykqgv,5.5,Accept,5.25,Reject,Reject,NO,0.0000,0.0000,6.0,6.0,3.0,6.0,,,
zUXejfUAbx,6.0,Accept,4.17,Reject,Reject,NO,0.0000,0.0000,6.0,3.0,5.0,3.0,3.0,5.0,
Pj4Aid3XqL,5.0,Accept,5.25,Accept,Accept,YES,0.0000,0.0000,5.0,5.0,5.0,6.0,,,
UZS6D7GfP1,4.5,Reject,3.50,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,5.0,3.0,,,
9KiE3t6CsL,6.0,Accept,6.00,Accept,Accept,YES,0.0000,0.0000,6.0,6.0,6.0,,,,
lWN2aGg8qJ,5.5,Accept,4.00,Reject,Reject,NO,0.0000,0.0000,3.0,3.0,5.0,5.0,,,
KCTHM2Ffh3,5.5,Accept,6.33,Reject,Reject,NO,0.0000,0.0000,6.0,5.0,8.0,,,,
gBLEHzKOfF,5.5,Accept,6.00,Reject,Reject,NO,0.0000,0.0000,8.0,5.0,6.0,5.0,,,
oIwoBDsJJI,4.5,Reject,3.50,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,5.0,3.0,,,
lGDmwb12Qq,5.0,Reject,4.67,Reject,Reject,YES,0.0000,0.0000,3.0,6.0,5.0,,,,
ezscMer8L0,5.0,Reject,6.00,Accept,Accept,NO,0.0000,0.0000,6.0,6.0,6.0,6.0,,,
AhCdJ93Wmi,6.0,Accept,4.40,Reject,Reject,NO,0.0000,0.0000,5.0,3.0,6.0,3.0,5.0,,
JQtuCumAFD,5.5,Reject,5.50,Accept,Accept,NO,0.0000,0.0000,3.0,8.0,8.0,3.0,,,
lZRRfupxYn,3.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,,,,
RuP17cJtZo,5.0,Reject,8.00,Accept,Accept,NO,0.0000,0.0000,8.0,8.0,8.0,8.0,,,
XdRIno98gG,5.5,Reject,6.67,Accept,Accept,NO,0.0000,0.0000,6.0,8.0,6.0,,,,
zhxATDLAmJ,6.5,Accept,4.40,Reject,Reject,NO,0.0000,0.0000,6.0,3.0,5.0,5.0,3.0,,
AjXkRZIvjB,6.5,Accept,6.00,Accept,Accept,YES,0.0000,0.0000,8.0,8.0,5.0,3.0,,,
oF6e2WwxX0,5.5,Reject,7.00,Accept,Accept,NO,0.0000,0.0000,8.0,10.0,5.0,5.0,,,
NeKjkOWvwd,5.0,Reject,5.33,Reject,Reject,YES,0.0000,0.0000,5.0,6.0,5.0,,,,
GQGNLEHmdl,5.0,Reject,6.33,Accept,Accept,NO,0.0000,0.0000,6.0,8.0,5.0,,,,
HoY24hOeVP,5.0,Reject,5.40,Reject,Reject,YES,0.0000,0.0000,6.0,3.0,6.0,6.0,6.0,,
6LKmaC4cO0,5.0,Reject,5.75,Reject,Reject,YES,0.0000,0.0000,6.0,6.0,5.0,6.0,,,
OnLAftJkhV,5.5,Reject,3.75,Reject,Reject,YES,0.0000,0.0000,3.0,6.0,3.0,3.0,,,
w4DW6qkRmt,6.0,Accept,6.40,Accept,Accept,YES,0.0000,0.0000,6.0,6.0,6.0,8.0,6.0,,
