paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
nS2DBNydCC,4.5,Reject,4.75,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,3.0,5.0,,,
6VhDQP7WGX,4.5,Reject,5.80,Accept,Accept,NO,0.0000,0.0000,5.0,6.0,5.0,5.0,8.0,,
ws0F5NTzGw,6.0,Accept,4.50,Reject,Reject,NO,0.0000,0.0000,5.0,3.0,5.0,5.0,,,
Ge7okBGZYi,5.0,Reject,5.25,Accept,Accept,NO,0.0000,0.0000,5.0,5.0,8.0,3.0,,,
LPRxGZ7Oax,5.5,Reject,5.20,Accept,Accept,NO,0.0000,0.0000,6.0,5.0,5.0,5.0,5.0,,
NvSwR4IvLO,6.0,Accept,4.67,Reject,Reject,NO,0.0000,0.0000,5.0,3.0,6.0,,,,
a1jpdqRED9,5.5,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,3.0,8.0,6.0,3.0,,,
Fk5IzauJ7F,5.5,Accept,8.00,Accept,Accept,YES,0.0000,0.0000,8.0,8.0,8.0,8.0,,,
6xCgMOm9oM,5.5,Reject,4.75,Reject,Reject,YES,0.0000,0.0000,3.0,5.0,3.0,8.0,,,
DhHIw9Nbl1,4.5,Reject,6.25,Accept,Accept,NO,0.0000,0.0000,6.0,6.0,5.0,8.0,,,
jFcNXJGPGh,4.5,Reject,6.00,Accept,Accept,NO,0.0000,0.0000,5.0,6.0,8.0,5.0,,,
ZXFJeR9Xm6,3.5,Reject,4.25,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,6.0,3.0,,,
dRXxFEY8ZE,6.0,Accept,7.50,Accept,Accept,YES,0.0000,0.0000,8.0,8.0,6.0,8.0,,,
vcX0k4rGTt,6.0,Accept,5.75,Accept,Accept,YES,0.0000,0.0000,6.0,3.0,8.0,6.0,,,
7Ttk3RzDeu,6.0,Accept,6.25,Accept,Accept,YES,0.0000,0.0000,8.0,8.0,1.0,8.0,,,
WnqD3EiylC,6.5,Accept,5.00,Reject,Reject,NO,0.0000,0.0000,3.0,6.0,5.0,6.0,5.0,,
zUDbPgskDS,4.5,Reject,3.25,Reject,Reject,YES,0.0000,0.0000,1.0,3.0,3.0,6.0,,,
OJsMGsO6yn,5.0,Reject,6.50,Accept,Accept,NO,0.0000,0.0000,6.0,8.0,6.0,6.0,,,
RfCGvKBmMq,4.5,Reject,5.75,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,6.0,6.0,,,
GGlpykXDCa,5.0,Reject,8.00,Accept,Accept,NO,0.0000,0.0000,8.0,8.0,8.0,,,,
pIVOSU7TFQ,6.0,Accept,5.00,Reject,Reject,NO,0.0000,0.0000,6.0,5.0,6.0,3.0,,,
QhXisLeIqR,5.0,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,5.0,5.0,,,
tfyLS1cB5W,5.0,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,6.0,3.0,3.0,,,,
WRKVA3TgSv,5.5,Accept,3.00,Reject,Reject,NO,0.0000,0.0000,3.0,3.0,3.0,3.0,,,
LCQ7YTzgRQ,6.0,Accept,6.25,Reject,Reject,NO,0.0000,0.0000,6.0,5.0,8.0,6.0,,,
5JWAOLBxwp,6.5,Accept,5.80,Accept,Accept,YES,0.0000,0.0000,5.0,6.0,6.0,6.0,6.0,,
BSGQHpGI1Q,2.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,5.0,1.0,3.0,,,
csbf1p8xUq,5.0,Reject,7.33,Accept,Accept,NO,0.0000,0.0000,8.0,6.0,8.0,,,,
tpD1rs25Uu,5.5,Accept,6.33,Accept,Accept,YES,0.0000,0.0000,5.0,6.0,8.0,,,,
Bx5kcMkb8l,2.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,,,,
MCUvAc1GTg,6.0,Accept,5.50,Reject,Reject,NO,0.0000,0.0000,5.0,8.0,6.0,3.0,,,
09JVxsEZPf,5.5,Reject,4.80,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,6.0,5.0,5.0,,
PaOuEBMvTG,5.0,Reject,5.25,Reject,Reject,YES,0.0000,0.0000,5.0,8.0,5.0,3.0,,,
ZuOXuS7yDw,6.0,Accept,6.00,Reject,Reject,NO,0.0000,0.0000,5.0,8.0,5.0,6.0,,,
3pgJNIx3gc,5.5,Accept,3.67,Reject,Reject,NO,0.0000,0.0000,3.0,5.0,3.0,,,,
uIv5SaxXLv,3.5,Reject,4.50,Reject,Reject,YES,0.0000,0.0000,3.0,5.0,5.0,5.0,,,
yIdCQFvbYe,4.0,Reject,5.83,Reject,Reject,YES,0.0000,0.0000,8.0,5.0,3.0,8.0,6.0,5.0,
