paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
bB0OKNpznp,3.5,Reject,6.00,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,6.0,6.0,6.0,,
GPDcvoFGOL,6.5,Accept,6.75,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,8.0,6.0,5.0,,,
DKA7Hx7PSt,6.0,Major Revisions,5.50,Reject,Reject,NO,0.0000,0.0000,6.0,6.0,5.0,5.0,,,
iMI4HRpZFc,5.5,Reject,5.25,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,5.0,5.0,,,
9VMW4iXfKt,7.5,Accept,5.50,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,5.0,6.0,5.0,,,
Vi1PJjvEdh,5.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,1.0,3.0,,,
9hpcTgztk8,8.0,Accept,4.25,Reject,Reject,NO,0.0000,0.0000,5.0,6.0,3.0,3.0,,,
57EjN072hl,5.0,Reject,4.33,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,5.0,,,,
YK8eO7BEkJ,3.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,,,,
5sU32OCxgZ,3.5,Reject,6.00,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,6.0,6.0,,,
Y4aWwRh25b,6.0,Accept,6.75,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,6.0,8.0,5.0,,,
Fu0aggezN9,5.5,Reject,7.00,Accept (Poster),Accept,NO,0.0000,0.0000,8.0,6.0,8.0,6.0,,,
fgaNjiijS1,5.0,Reject,5.75,Reject,Reject,YES,0.0000,0.0000,8.0,6.0,6.0,3.0,,,
F0Zd3knG9j,4.5,Weak Reject,5.00,Reject,Reject,NO,0.0000,0.0000,5.0,5.0,5.0,,,,
aMBSY2ebPw,6.0,Major Revisions,7.33,Accept (Spotlight),Accept,NO,0.0000,0.0000,6.0,8.0,8.0,,,,
i8LCUpKvAz,4.0,Reject,7.00,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,8.0,8.0,6.0,,,
1yJP5TVWih,5.0,Reject,6.25,Accept (Poster),Accept,NO,0.0000,0.0000,5.0,8.0,6.0,6.0,,,
PcE0yAGAGW,5.0,Reject,2.20,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,1.0,3.0,1.0,,
7ZToWPWUlO,4.5,Reject,4.75,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,3.0,5.0,,,
EW6bNEqalF,6.0,Reject,7.00,Accept (Poster),Accept,NO,0.0000,0.0000,8.0,8.0,6.0,6.0,,,
bBoetBIN2R,5.0,Reject,6.25,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,8.0,5.0,6.0,,,
FFwoaUFBVC,4.5,Reject,4.67,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,6.0,,,,
iXbUquaWbl,5.5,Reject,6.50,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,8.0,6.0,,,
gVnJFY8nCM,5.5,Accept,6.25,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,8.0,5.0,6.0,,,
