paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
4S5x8yhJ5H,3.5,Reject,0.00,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,0.0,0.0,0.0,,,,
b6qQmQ2F13,6.0,Accept,5.00,Accept (Poster),Accept,YES,0.0000,0.0000,2.0,6.0,6.0,6.0,,,
P1qlqfRtgo,3.5,Reject,2.00,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,2.0,2.0,2.0,2.0,,,
N8ntZEb4Ap,4.5,Reject,2.33,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,2.0,0.0,2.0,2.0,4.0,4.0,
ecbEfXdqrV,5.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,2.0,4.0,4.0,2.0,,,
CQ0U1wZYoy,5.5,Reject,4.00,Accept (Poster),Accept,NO,0.0000,0.0000,2.0,4.0,4.0,4.0,6.0,,
JEN4nsDgh9,4.5,Reject,3.50,Reject,Reject,YES,0.0000,0.0000,4.0,4.0,2.0,4.0,,,
zKQSyT7a7n,5.0,Borderline,6.00,Reject,Reject,NO,0.0000,0.0000,6.0,8.0,4.0,6.0,,,
cZFgsLq8Gs,5.5,Accept,4.00,Accept (Poster),Accept,YES,0.0000,0.0000,4.0,6.0,4.0,2.0,,,
sSbEEHNEsL,6.0,Accept,8.00,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,8.0,8.0,8.0,,,
uP6RDWHcs7,5.0,Reject,1.33,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,2.0,0.0,2.0,,,,
ZBhZT307xx,6.0,Accept,3.00,Withdrawn (treated as Reject),Reject,NO,0.0000,0.0000,4.0,2.0,4.0,2.0,,,
Rj5ZJk956j,5.0,Accept,4.67,Reject,Reject,NO,0.0000,0.0000,4.0,2.0,8.0,,,,
6RQsAQEUib,4.5,Reject,4.00,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,6.0,2.0,2.0,6.0,,,
wVGfJxM2Nz,4.0,Reject,2.00,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,2.0,2.0,,,
WwDNiisZQm,6.0,Accept,4.00,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,2.0,4.0,4.0,,,
s7oURFZTQD,3.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,4.0,4.0,,,
VSDV0SWwOC,5.0,Reject,6.67,Accept (Poster),Accept,NO,0.0000,0.0000,8.0,4.0,8.0,,,,
WhO6Km5Rku,3.0,Reject,4.00,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,4.0,4.0,2.0,6.0,,,
rI2Fa13fUL,5.5,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,6.0,6.0,4.0,4.0,,,
4nOZBufbLC,5.5,Accept,5.60,Accept (Poster),Accept,YES,0.0000,0.0000,4.0,6.0,6.0,4.0,8.0,,
FtL9eEmU6v,5.0,Reject,7.50,Accept (Oral),Accept,NO,0.0000,0.0000,6.0,10.0,8.0,6.0,,,
XKLPlnfZzM,5.5,Reject,3.50,Reject,Reject,YES,0.0000,0.0000,6.0,4.0,2.0,2.0,,,
Rt9SeEAMWv,4.5,Reject,4.80,Reject,Reject,YES,0.0000,0.0000,6.0,4.0,2.0,6.0,6.0,,
SzXDuBN8M1,6.0,Accept,7.50,Accept (Oral),Accept,YES,0.0000,0.0000,8.0,8.0,6.0,8.0,,,
s7gSTR2AqA,5.5,Reject,6.00,Accept (Poster),Accept,NO,0.0000,0.0000,4.0,8.0,6.0,,,,
GMP1S4R6Ke,4.5,Reject,5.33,Accept (Poster),Accept,NO,0.0000,0.0000,4.0,6.0,6.0,,,,
U2SJE6W3wT,5.5,Accept,5.50,Accept (Poster),Accept,YES,0.0000,0.0000,4.0,6.0,6.0,6.0,,,
pNpnqsn0Si,5.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,4.0,2.0,4.0,2.0,,,
0xHWd4CUaX,3.0,Reject,2.00,Reject,Reject,YES,0.0000,0.0000,0.0,2.0,4.0,2.0,,,
abgW71sKIt,4.5,Reject,2.50,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,2.0,2.0,4.0,2.0,,,
kMfVTka2WB,3.0,Reject,2.00,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,2.0,2.0,,,
