paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
CPhqrV5Ehg,6.5,Accept,6.00,Reject,Reject,NO,0.0000,0.0000,8.0,3.0,5.0,6.0,8.0,,
1c73HCZpbo,4.5,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,3.0,3.0,,,
Zggz6seq6F,4.5,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,6.0,3.0,5.0,6.0,,,
AC3713Fmhx,6.0,Accept,6.00,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,6.0,6.0,6.0,6.0,,
fL8Zp8o6RL,5.0,Reject,5.50,Reject,Reject,YES,0.0000,0.0000,6.0,6.0,5.0,5.0,,,
YK8eO7BEkJ,4.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,,,,
OYT7yZfBFw,5.5,Reject,6.25,Reject,Reject,YES,0.0000,0.0000,8.0,5.0,6.0,6.0,,,
6fDjUoEQvm,6.5,Accept,6.75,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,5.0,6.0,8.0,,,
9mjZ800m7Y,5.0,Reject,6.50,Accept (Poster),Accept,NO,0.0000,0.0000,8.0,6.0,6.0,6.0,,,
E4Fk3YuG56,7.0,Accept,8.50,Accept (Oral),Accept,YES,0.0000,0.0000,10.0,8.0,6.0,10.0,,,
MyotJECv0D,3.5,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,5.0,1.0,3.0,1.0,,,
TxIrMD6lAN,6.0,Accept,3.00,Reject,Reject,NO,0.0000,0.0000,3.0,3.0,5.0,3.0,1.0,,
fO0YO9giQV,5.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,3.0,,,
Hbpzrh7JbN,6.5,Accept,5.00,Reject,Reject,NO,0.0000,0.0000,3.0,5.0,5.0,6.0,6.0,,
Lxst78Rrwj,5.0,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,3.0,6.0,6.0,5.0,,,
cXxfVkRCHJ,6.0,Accept,3.00,Reject,Reject,NO,0.0000,0.0000,3.0,3.0,3.0,,,,
neDGc4slhd,3.5,Reject,2.86,Reject,Reject,YES,0.0000,0.0000,3.0,1.0,6.0,1.0,3.0,5.0,
guyICBe4p1,5.0,Reject,5.67,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,6.0,,,,
RWJX5F5I9g,4.5,Reject,8.00,Accept (Oral),Accept,NO,0.0000,0.0000,8.0,8.0,8.0,,,,
DblHBgD0GR,5.5,Reject,5.75,Reject,Reject,YES,0.0000,0.0000,3.0,6.0,8.0,6.0,,,
4YpMrGfldX,6.0,Accept,7.00,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,8.0,8.0,6.0,,,
ESM2ixIp3X,4.5,Reject,3.50,Reject,Reject,YES,0.0000,0.0000,3.0,5.0,3.0,3.0,,,
HhefvT4ktU,4.5,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,3.0,3.0,,,
YFKH1vO0W2,5.5,Reject,5.25,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,5.0,6.0,,,
iXbUquaWbl,6.0,Reject,6.50,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,8.0,6.0,,,
q6hEuC48Dk,5.5,Reject,3.80,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,3.0,5.0,3.0,,
VSKV3GykuE,4.5,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,5.0,5.0,,,
0iAZYF9hrl,4.5,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,3.0,1.0,3.0,3.0,,,
LFn7s8yRUF,3.5,Reject,1.50,Reject,Reject,YES,0.0000,0.0000,1.0,1.0,1.0,3.0,,,
ICR3swcnaa,4.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,,,,
HNbNcDsgxL,4.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,3.0,1.0,3.0,,
2U8owdruSQ,5.0,Reject,6.80,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,8.0,6.0,6.0,8.0,,
r1KcapkzCt,6.0,Accept,7.00,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,8.0,5.0,,,,
AAZ3vwyQ4X,4.5,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,1.0,3.0,,,
DPzQ5n3mNm,5.0,Reject,6.25,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,5.0,8.0,,,
J9Ofr1PmvX,3.0,Reject,5.50,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,5.0,5.0,5.0,8.0,
Ah3n8U3kRT,3.0,Reject,5.50,Reject,Reject,YES,0.0000,0.0000,5.0,6.0,5.0,6.0,,,
5btqauRdz0,5.5,Reject,5.50,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,5.0,6.0,,,
