paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
HNJJEWfo0Z,5.0,Reject,3.75,Reject,Reject,YES,0.0000,0.0000,3.0,6.0,3.0,3.0,,,
4IRYGvyevW,5.5,Reject,5.60,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,5.0,6.0,6.0,,
gzxDjnvBDa,6.0,Reject,7.00,Accept (Poster),Accept,NO,0.0000,0.0000,8.0,8.0,6.0,6.0,,,
tNn6Hskmti,6.5,Reject,6.25,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,5.0,8.0,,,
pqOjj90Vwp,4.5,Reject,8.00,Accept (Oral),Accept,NO,0.0000,0.0000,8.0,8.0,8.0,,,,
3Ofy2jNsNL,5.5,Reject,5.50,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,8.0,8.0,,,
70YeidEcYR,5.5,Reject,5.25,Reject,Reject,YES,0.0000,0.0000,6.0,6.0,6.0,3.0,,,
ezzmWTm8r6,6.0,Accept,4.00,Reject,Reject,NO,0.0000,0.0000,3.0,3.0,5.0,5.0,,,
fDcn3S8oAt,6.0,Reject,5.25,Reject,Reject,YES,0.0000,0.0000,8.0,5.0,5.0,3.0,,,
dGMJ93qpfq,3.5,Reject,5.20,Reject,Reject,YES,0.0000,0.0000,3.0,6.0,5.0,6.0,6.0,,
QSuOHV62IQ,5.5,Reject,3.50,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,5.0,,,
N83O2FcqzN,6.5,Accept,5.00,Reject,Reject,NO,0.0000,0.0000,8.0,6.0,3.0,3.0,,,
i4ouG6Kc8M,5.5,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,1.0,,,
TjuS86sQv8,5.0,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,3.0,5.0,,,
