paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
6fDjUoEQvm,6.0,Accept,6.75,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,5.0,6.0,8.0,,,
CPhqrV5Ehg,6.0,Accept,6.00,Reject,Reject,NO,0.0000,0.0000,8.0,3.0,5.0,6.0,8.0,,
OYT7yZfBFw,4.5,Reject,6.25,Reject,Reject,YES,0.0000,0.0000,8.0,5.0,6.0,6.0,,,
1c73HCZpbo,4.0,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,3.0,3.0,,,
AC3713Fmhx,6.0,Accept,6.00,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,6.0,6.0,6.0,6.0,,
Zggz6seq6F,4.5,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,6.0,3.0,5.0,6.0,,,
YK8eO7BEkJ,4.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,,,,
9mjZ800m7Y,5.5,Reject,6.50,Accept (Poster),Accept,NO,0.0000,0.0000,8.0,6.0,6.0,6.0,,,
DblHBgD0GR,4.5,Reject,5.75,Reject,Reject,YES,0.0000,0.0000,3.0,6.0,8.0,6.0,,,
MyotJECv0D,3.5,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,5.0,1.0,3.0,1.0,,,
fL8Zp8o6RL,5.0,Reject,5.50,Reject,Reject,YES,0.0000,0.0000,6.0,6.0,5.0,5.0,,,
Hbpzrh7JbN,5.5,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,3.0,5.0,5.0,6.0,6.0,,
RWJX5F5I9g,5.0,Reject,8.00,Accept (Oral),Accept,NO,0.0000,0.0000,8.0,8.0,8.0,,,,
fO0YO9giQV,3.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,3.0,,,
E4Fk3YuG56,6.5,Accept,8.50,Accept (Oral),Accept,YES,0.0000,0.0000,10.0,8.0,6.0,10.0,,,
TxIrMD6lAN,4.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,5.0,3.0,1.0,,
guyICBe4p1,5.0,Reject,5.67,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,6.0,,,,
neDGc4slhd,4.5,Reject,2.86,Reject,Reject,YES,0.0000,0.0000,3.0,1.0,6.0,1.0,3.0,5.0,
0iAZYF9hrl,5.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,3.0,1.0,3.0,3.0,,,
cXxfVkRCHJ,4.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,,,,
4YpMrGfldX,6.5,Accept,7.00,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,8.0,8.0,6.0,,,
Lxst78Rrwj,4.0,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,3.0,6.0,6.0,5.0,,,
5btqauRdz0,5.0,Reject,5.50,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,5.0,6.0,,,
VSKV3GykuE,5.0,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,5.0,5.0,,,
YFKH1vO0W2,5.0,Reject,5.25,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,5.0,6.0,,,
HhefvT4ktU,6.0,Accept,4.00,Reject,Reject,NO,0.0000,0.0000,5.0,5.0,3.0,3.0,,,
ESM2ixIp3X,5.5,Reject,3.50,Reject,Reject,YES,0.0000,0.0000,3.0,5.0,3.0,3.0,,,
DPzQ5n3mNm,4.0,Reject,6.25,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,5.0,8.0,,,
ICR3swcnaa,4.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,,,,
q6hEuC48Dk,4.5,Reject,3.80,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,3.0,5.0,3.0,,
LFn7s8yRUF,3.5,Reject,1.50,Reject,Reject,YES,0.0000,0.0000,1.0,1.0,1.0,3.0,,,
iXbUquaWbl,5.5,Accept,6.50,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,6.0,8.0,6.0,,,
J9Ofr1PmvX,4.5,Reject,5.50,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,5.0,5.0,5.0,8.0,
2U8owdruSQ,5.0,Reject,6.80,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,8.0,6.0,6.0,8.0,,
HNbNcDsgxL,4.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,3.0,1.0,3.0,,
gZky2pakRK,6.0,Accept,6.25,Reject,Reject,NO,0.0000,0.0000,8.0,6.0,8.0,3.0,,,
bdFzyzf4Qx,3.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,,,,
2h1siDrSMl,4.5,Reject,5.67,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,6.0,,,,
AAZ3vwyQ4X,4.5,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,1.0,3.0,,,
QSuOHV62IQ,5.5,Accept,3.50,Reject,Reject,NO,0.0000,0.0000,3.0,3.0,3.0,5.0,,,
r1KcapkzCt,5.0,Reject,7.00,Accept (Poster),Accept,NO,0.0000,0.0000,8.0,8.0,5.0,,,,
Ah3n8U3kRT,4.0,Reject,5.50,Reject,Reject,YES,0.0000,0.0000,5.0,6.0,5.0,6.0,,,
cDdeTXOnAK,5.0,Reject,3.50,Reject,Reject,YES,0.0000,0.0000,3.0,5.0,3.0,3.0,,,
FqWtMGw8tt,4.5,Reject,5.50,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,5.0,6.0,,,
8khcyTc4Di,4.5,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,5.0,5.0,,,
1T6HzuZMCz,5.0,Reject,3.50,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,5.0,3.0,,,
ZyCuQxyPJK,4.5,Reject,4.25,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,6.0,3.0,,,
qK6U4Ahfms,4.5,Reject,4.25,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,6.0,3.0,,,
kT6oc5CpEi,4.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,,,,
GfXMTAJaxZ,7.5,Accept,6.86,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,8.0,8.0,6.0,8.0,6.0,
prSJlvWrgE,4.5,Reject,5.75,Reject,Reject,YES,0.0000,0.0000,6.0,6.0,8.0,3.0,,,
uy9oR0nYCW,4.5,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,1.0,3.0,5.0,1.0,,,
58lbAsXCoZ,5.5,Reject,6.25,Accept (Poster),Accept,NO,0.0000,0.0000,1.0,10.0,6.0,8.0,,,
uJqKf24HGN,5.0,Reject,7.00,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,8.0,6.0,8.0,,,
PdZkfSttGK,5.0,Reject,5.25,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,6.0,5.0,,,
CscKx97jBi,4.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,3.0,1.0,,,
FPBce2P1er,5.5,Reject,6.75,Accept (Poster),Accept,NO,0.0000,0.0000,10.0,6.0,8.0,3.0,,,
QLOGfFSB50,5.5,Reject,5.40,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,6.0,6.0,5.0,,
E36NHwe7Zc,4.5,Reject,6.00,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,6.0,6.0,,,
syC2764fPc,5.5,Accept,6.00,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,6.0,6.0,6.0,,,
cznqgb4DNv,5.0,Reject,7.40,Accept (Spotlight),Accept,NO,0.0000,0.0000,8.0,8.0,8.0,5.0,8.0,,
4ub9gpx9xw,5.0,Reject,7.50,Accept (Spotlight),Accept,NO,0.0000,0.0000,8.0,8.0,8.0,6.0,,,
pqxSDbX8XT,4.0,Reject,3.50,Reject,Reject,YES,0.0000,0.0000,3.0,5.0,3.0,3.0,,,
MueN6LyTmS,4.5,Reject,5.20,Reject,Reject,YES,0.0000,0.0000,8.0,6.0,6.0,5.0,1.0,,
B5RrIFMqbe,4.0,Reject,6.50,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,8.0,6.0,,,
VaowElpVzd,5.0,Reject,7.50,Accept (Spotlight),Accept,NO,0.0000,0.0000,10.0,6.0,8.0,6.0,,,
lhh5Q85KQJ,4.5,Reject,5.33,Reject,Reject,YES,0.0000,0.0000,5.0,8.0,3.0,,,,
rObkvzJxTG,5.0,Reject,5.50,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,5.0,5.0,,,
