paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
tctWi7I5wd,5.5,Reject,4.00,Accept (spotlight poster),Accept,NO,0.0000,0.0000,4.0,3.0,4.0,5.0,,,
j5eEF77JQz,5.5,Reject,3.00,Accept (poster),Accept,NO,0.0000,0.0000,3.0,3.0,2.0,4.0,,,
I7nESnBvib,4.0,Reject,3.00,Reject (with encouragement),Reject,YES,0.0000,0.0000,3.0,4.0,2.0,3.0,,,
wkisIZbntD,4.5,Reject,2.75,Accept (poster),Accept,NO,0.0000,0.0000,4.0,2.0,3.0,2.0,,,
CYJlJgEzZs,3.5,Reject,3.33,Accept (poster),Accept,NO,0.0000,0.0000,3.0,4.0,3.0,,,,
gnyqRarPzW,3.5,Reject,3.00,Accept (poster),Accept,NO,0.0000,0.0000,2.0,3.0,4.0,3.0,,,
MxCJbuJhWG,5.5,Reject,3.50,Accept (poster),Accept,NO,0.0000,0.0000,4.0,3.0,3.0,4.0,,,
42Au7FoD8F,7.0,Accept,4.33,Accept (spotlight poster),Accept,YES,0.0000,0.0000,4.0,5.0,4.0,,,,
Rxd2TpV6Eg,5.5,Reject,4.00,Accept (oral),Accept,NO,0.0000,0.0000,5.0,3.0,4.0,4.0,,,
J5MmGPWKfb,5.5,Reject,4.00,Accept (spotlight poster),Accept,NO,0.0000,0.0000,5.0,4.0,3.0,4.0,,,
QLKBm1PaCU,5.5,Accept,3.25,Accept (poster),Accept,YES,0.0000,0.0000,5.0,3.0,3.0,2.0,,,
Nr2ulBN50q,6.0,Reject,3.25,Accept (poster),Accept,NO,0.0000,0.0000,4.0,3.0,3.0,3.0,,,
KL8bi77TFF,4.5,Reject,1.75,Reject,Reject,YES,0.0000,0.0000,1.0,2.0,3.0,1.0,,,
yYJo8czj4f,5.5,Accept,3.25,Accept (poster),Accept,YES,0.0000,0.0000,2.0,3.0,4.0,4.0,,,
l8QemUZaIA,5.5,Reject,3.25,Accept (oral),Accept,NO,0.0000,0.0000,4.0,3.0,3.0,3.0,,,
JMoWFkwnvv,5.0,Reject,3.50,Accept (poster),Accept,NO,0.0000,0.0000,4.0,4.0,4.0,2.0,,,
BCP8UU2BcU,5.5,Reject,3.25,Accept (poster),Accept,NO,0.0000,0.0000,3.0,3.0,3.0,4.0,,,
gwhPvu97Gm,6.5,Accept,4.25,Accept (spotlight poster),Accept,YES,0.0000,0.0000,4.0,4.0,4.0,5.0,,,
9skHxuHyM4,6.5,Accept,4.00,Accept (oral),Accept,YES,0.0000,0.0000,4.0,4.0,4.0,4.0,,,
Njaljr4V8L,-1,N/A,2.00,Reject,Reject,N/A,0.0000,0.0000,2.0,1.0,3.0,2.0,,,
QMgCDPWL9Y,5.5,Reject,4.00,Accept (spotlight poster),Accept,NO,0.0000,0.0000,4.0,5.0,3.0,4.0,,,
RrvhbxO2hd,4.0,Reject,2.75,Accept (poster),Accept,NO,0.0000,0.0000,3.0,4.0,2.0,2.0,,,
ELErARGR5U,4.0,Reject,1.50,Reject,Reject,YES,0.0000,0.0000,1.0,1.0,2.0,2.0,,,
YhZ2PY2nZa,6.0,Accept,3.75,Accept (spotlight poster),Accept,YES,0.0000,0.0000,4.0,3.0,3.0,5.0,,,
nrlGUdlo16,5.0,Reject,3.50,Accept (poster),Accept,NO,0.0000,0.0000,2.0,5.0,2.0,5.0,,,
Uh13utzs2m,6.0,Accept,2.25,Reject,Reject,NO,0.0000,0.0000,1.0,4.0,1.0,3.0,,,
A0HtZM0MpZ,5.5,Reject,3.50,Accept (poster),Accept,NO,0.0000,0.0000,2.0,4.0,4.0,4.0,,,
YmTxiR1HUX,6.0,Accept,3.75,Accept (poster),Accept,YES,0.0000,0.0000,4.0,4.0,3.0,4.0,,,
vMTijVnXQ8,5.0,Reject,3.33,Reject (with encouragement),Reject,YES,0.0000,0.0000,3.0,4.0,3.0,,,,
ErKu9lP91g,5.5,Reject,3.33,Accept (poster),Accept,NO,0.0000,0.0000,4.0,3.0,3.0,,,,
Lrv20S5RZV,5.5,Reject,2.75,Accept (poster),Accept,NO,0.0000,0.0000,2.0,4.0,2.0,3.0,,,
zfohnbkMu0,6.0,Accept,3.50,Accept (poster),Accept,YES,0.0000,0.0000,3.0,3.0,5.0,3.0,,,
mWlnrtOTtm,6.0,Accept,4.50,Accept (poster),Accept,YES,0.0000,0.0000,5.0,4.0,5.0,4.0,,,
T21ixFVruG,5.0,Reject,3.25,Reject (with encouragement),Reject,YES,0.0000,0.0000,4.0,2.0,4.0,3.0,,,
IxCvgUme5S,5.0,Reject,3.25,Accept (poster),Accept,NO,0.0000,0.0000,3.0,3.0,5.0,2.0,,,
j3totqf8xW,4.5,Reject,3.00,Accept (poster),Accept,NO,0.0000,0.0000,4.0,3.0,3.0,2.0,,,
asQJx56NqB,6.0,Reject,3.75,Accept (spotlight poster),Accept,NO,0.0000,0.0000,3.0,5.0,3.0,4.0,,,
GrBXso0e17,5.5,Reject,3.25,Accept (oral),Accept,NO,0.0000,0.0000,3.0,4.0,3.0,3.0,,,
GCqffUAyiu,3.0,Reject,2.25,Reject,Reject,YES,0.0000,0.0000,2.0,1.0,2.0,4.0,,,
Sz90WdONPz,-1,N/A,2.50,Reject,Reject,N/A,0.0000,0.0000,4.0,1.0,2.0,3.0,,,
hxwIndG0Z8,4.0,Reject,3.75,Accept (poster),Accept,NO,0.0000,0.0000,3.0,5.0,4.0,3.0,,,
LEYmr1TsBW,5.0,Reject,3.50,Accept (poster),Accept,NO,0.0000,0.0000,2.0,4.0,4.0,4.0,,,
UXZJ3aL8vE,6.5,Accept,3.25,Accept (poster),Accept,YES,0.0000,0.0000,4.0,4.0,4.0,1.0,,,
gCPJFcHskT,5.5,Reject,4.00,Accept (oral),Accept,NO,0.0000,0.0000,4.0,4.0,4.0,4.0,,,
1AS7IT3X2A,4.5,Reject,2.75,Reject,Reject,YES,0.0000,0.0000,2.0,3.0,3.0,3.0,,,
q7QJyxgAq4,4.5,Reject,3.33,Accept (poster),Accept,NO,0.0000,0.0000,4.0,3.0,3.0,,,,
JkcSsFWdGP,5.5,Reject,3.00,Accept (poster),Accept,NO,0.0000,0.0000,3.0,3.0,3.0,,,,
Al5mEX6eHF,6.5,Accept,3.50,Accept (poster),Accept,YES,0.0000,0.0000,4.0,4.0,2.0,4.0,,,
L6RpQ1h4Nx,6.0,Accept,3.25,Accept (poster),Accept,YES,0.0000,0.0000,4.0,3.0,4.0,2.0,,,
eax2ixyeQL,4.5,Reject,4.00,Accept (spotlight poster),Accept,NO,0.0000,0.0000,4.0,4.0,3.0,5.0,,,
wjQqi7DJM2,4.5,Reject,2.25,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,1.0,4.0,,,
CA9NxmmUG5,4.5,Reject,4.75,Accept (oral),Accept,NO,0.0000,0.0000,5.0,4.0,5.0,5.0,,,
4UhTWPwVke,5.5,Reject,2.40,Accept (poster),Accept,NO,0.0000,0.0000,2.0,3.0,2.0,3.0,2.0,,
cw7MYyDL33,5.5,Reject,2.75,Accept (oral),Accept,NO,0.0000,0.0000,2.0,4.0,2.0,3.0,,,
75WZP8whT8,5.0,Reject,3.67,Reject,Reject,YES,0.0000,0.0000,4.0,3.0,4.0,,,,
QlEfwyq9rx,4.0,Reject,1.00,Reject,Reject,YES,0.0000,0.0000,1.0,1.0,1.0,1.0,,,
Gl3V36BkCL,4.5,Reject,3.00,Reject (with encouragement),Reject,YES,0.0000,0.0000,3.0,3.0,3.0,,,,
1RlrtH6ydW,6.0,Accept,3.00,Accept (poster),Accept,YES,0.0000,0.0000,4.0,3.0,1.0,4.0,,,
b2gM1HyAgE,6.0,Reject,3.00,Accept (poster),Accept,NO,0.0000,0.0000,3.0,4.0,2.0,3.0,,,
5Hpm74b1Ga,5.5,Reject,3.33,Accept (poster),Accept,NO,0.0000,0.0000,3.0,3.0,4.0,,,,
2qErp0n78A,5.5,Reject,2.75,Reject,Reject,YES,0.0000,0.0000,1.0,3.0,4.0,3.0,,,
GYZLed4d3M,4.0,Reject,3.67,Accept (poster),Accept,NO,0.0000,0.0000,4.0,3.0,4.0,,,,
WpePuya3Ki,5.0,Reject,3.50,Accept (poster),Accept,NO,0.0000,0.0000,4.0,3.0,4.0,3.0,,,
3tdITbjv8t,6.0,Reject,3.40,Reject (with encouragement),Reject,YES,0.0000,0.0000,3.0,3.0,5.0,3.0,3.0,,
d2k8uDYlkh,4.5,Reject,3.00,Reject (with encouragement),Reject,YES,0.0000,0.0000,3.0,3.0,3.0,3.0,,,
LkdH35003E,5.5,Reject,3.50,Accept (poster),Accept,NO,0.0000,0.0000,2.0,4.0,4.0,4.0,,,
mzc1KPkIMJ,4.5,Reject,4.25,Accept (spotlight poster),Accept,NO,0.0000,0.0000,4.0,4.0,5.0,4.0,,,
kJzB6lQmcb,5.5,Reject,3.25,Accept (poster),Accept,NO,0.0000,0.0000,4.0,1.0,3.0,5.0,,,
YuMEUNNpeb,6.0,Accept,4.33,Accept (oral),Accept,YES,0.0000,0.0000,4.0,5.0,4.0,,,,
nDFpl2lhoH,5.5,Reject,3.25,Accept (poster),Accept,NO,0.0000,0.0000,3.0,4.0,2.0,4.0,,,
bXfF6Dqe9s,5.0,Reject,3.50,Accept (poster),Accept,NO,0.0000,0.0000,3.0,4.0,3.0,4.0,,,
3wEY0NB2pG,-1,N/A,4.00,Accept (poster),Accept,N/A,0.0000,0.0000,3.0,4.0,5.0,4.0,,,
H72JEXAPwo,-1,N/A,3.75,Accept (oral),Accept,N/A,0.0000,0.0000,3.0,4.0,4.0,4.0,,,
TEkyydR6il,5.0,Reject,3.00,Accept (poster),Accept,NO,0.0000,0.0000,3.0,4.0,2.0,,,,
UTxi86wmas,3.5,Reject,3.50,Accept (poster),Accept,NO,0.0000,0.0000,4.0,2.0,4.0,4.0,,,
eI8KegpPyX,5.5,Reject,4.00,Accept (spotlight poster),Accept,NO,0.0000,0.0000,5.0,4.0,4.0,3.0,,,
ASOb5Cw8Rv,4.0,Reject,2.25,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,2.0,3.0,,,
V1FP9WDKa7,6.0,Reject,3.50,Accept (oral),Accept,NO,0.0000,0.0000,3.0,4.0,3.0,4.0,,,
jK4dbpEEMo,3.5,Reject,1.67,Reject,Reject,YES,0.0000,0.0000,2.0,1.0,2.0,,,,
1ZC4RNjqzU,6.5,Accept,3.33,Accept (poster),Accept,YES,0.0000,0.0000,3.0,4.0,3.0,,,,
SlgXCLZFj3,4.5,Reject,2.75,Reject,Reject,YES,0.0000,0.0000,2.0,3.0,5.0,1.0,,,
1rh8iTehBc,5.0,Reject,3.75,Accept (oral),Accept,NO,0.0000,0.0000,3.0,4.0,4.0,4.0,,,
OT3WJRwCIf,4.5,Reject,2.25,Reject,Reject,YES,0.0000,0.0000,4.0,2.0,2.0,1.0,,,
ACzL62Jp4E,6.0,Accept,3.75,Accept (spotlight poster),Accept,YES,0.0000,0.0000,3.0,4.0,4.0,4.0,,,
LL39y0Tfxb,6.0,Accept,3.33,Accept (poster),Accept,YES,0.0000,0.0000,3.0,3.0,4.0,,,,
DH84SmPVxR,5.0,Reject,1.50,Reject,Reject,YES,0.0000,0.0000,3.0,1.0,1.0,1.0,,,
fRk0nKLKrJ,5.5,Reject,4.25,Accept (oral),Accept,NO,0.0000,0.0000,4.0,4.0,5.0,4.0,,,
8samCaCwKu,5.5,Reject,3.33,Accept (poster),Accept,NO,0.0000,0.0000,4.0,2.0,4.0,,,,
n1rqG1LnRF,5.5,Reject,2.00,Reject,Reject,YES,0.0000,0.0000,2.0,1.0,2.0,3.0,,,
HuvAM5x2xG,5.5,Reject,4.00,Accept (spotlight poster),Accept,NO,0.0000,0.0000,5.0,5.0,4.0,2.0,,,
RuLsq4LSZK,3.5,Reject,3.75,Accept (poster),Accept,NO,0.0000,0.0000,4.0,4.0,4.0,3.0,,,
DMRrbb36r5,5.5,Reject,3.00,Accept (poster),Accept,NO,0.0000,0.0000,3.0,4.0,3.0,2.0,,,
4KhDd0Ozqe,6.0,Reject,4.33,Accept (poster),Accept,NO,0.0000,0.0000,4.0,4.0,5.0,,,,
cRBg1dtj7o,-1,N/A,3.25,Accept (poster),Accept,N/A,0.0000,0.0000,3.0,4.0,3.0,3.0,,,
jd1N60VNFE,6.5,Accept,3.00,Accept (poster),Accept,YES,0.0000,0.0000,4.0,3.0,2.0,3.0,,,
ET6qJpllEi,4.5,Reject,2.75,Accept (poster),Accept,NO,0.0000,0.0000,2.0,3.0,3.0,3.0,,,
