paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
4QVgnxXVDB,5.0,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,5.0,6.0,6.0,3.0,,,
nwDRD4AMoN,6.5,Accept,9.00,Accept (Oral),Accept,YES,0.0000,0.0000,10.0,10.0,8.0,8.0,,,
IoonroIpfD,4.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,3.0,1.0,3.0,3.0,,,
1yJP5TVWih,6.0,Accept,6.25,Accept (Poster),Accept,YES,0.0000,0.0000,5.0,8.0,6.0,6.0,,,
61ss5RA1MM,5.0,Reject,6.50,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,8.0,6.0,,,
hKcDOfDxgn,5.5,Reject,3.75,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,6.0,,,
pjfrGVekwK,5.5,Accept,4.50,Reject,Reject,NO,0.0000,0.0000,3.0,5.0,5.0,5.0,,,
1T6HzuZMCz,4.0,Reject,3.50,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,5.0,3.0,,,
HcyVr9SlwR,6.0,Accept,3.67,Reject,Reject,NO,0.0000,0.0000,3.0,5.0,3.0,,,,
slZZnzlITo,5.5,Accept,4.83,Reject,Reject,NO,0.0000,0.0000,5.0,3.0,5.0,5.0,6.0,5.0,
CkgKSqZbuC,6.0,Accept,7.33,Accept (Spotlight),Accept,YES,0.0000,0.0000,6.0,8.0,8.0,,,,
gcouwCx7dG,4.5,Reject,5.75,Accept (Spotlight),Accept,NO,0.0000,0.0000,8.0,6.0,6.0,3.0,,,
4IRYGvyevW,5.5,Accept,5.60,Reject,Reject,NO,0.0000,0.0000,6.0,5.0,5.0,6.0,6.0,,
gAEEjGv5Oa,6.0,Accept,4.50,Reject,Reject,NO,0.0000,0.0000,3.0,6.0,6.0,3.0,,,
2xvisNIfdw,4.5,Reject,5.67,Accept (Poster),Accept,NO,0.0000,0.0000,8.0,6.0,3.0,6.0,5.0,6.0,
ckicHjoTgf,5.0,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,3.0,5.0,,,
pPWAPiFf3z,4.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,,,,
ijwYWoChN9,4.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,,,,
XwibrZ9MHG,5.5,Accept,4.00,Reject,Reject,NO,0.0000,0.0000,3.0,5.0,3.0,5.0,,,
KnYsdgeCey,3.5,Reject,4.75,Reject,Reject,YES,0.0000,0.0000,8.0,5.0,3.0,3.0,,,
Ij9ilPh36h,5.5,Accept,6.25,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,5.0,8.0,6.0,,,
FFwoaUFBVC,4.5,Reject,4.67,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,6.0,,,,
qxRoo7ULCo,5.5,Reject,7.50,Accept (Spotlight),Accept,NO,0.0000,0.0000,8.0,8.0,8.0,6.0,,,
AEglX9CHFN,5.0,Reject,6.50,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,8.0,6.0,6.0,,,
lzdFImKK8w,6.0,Accept,7.50,Accept (Spotlight),Accept,YES,0.0000,0.0000,8.0,6.0,10.0,6.0,,,
B9dYUFfzl3,5.5,Reject,6.00,Reject,Reject,YES,0.0000,0.0000,8.0,5.0,6.0,8.0,6.0,3.0,
bwhLqFjsxd,5.5,Reject,3.67,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,3.0,,,,
FQhDIGuaJ4,6.0,Accept,6.80,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,6.0,6.0,8.0,6.0,,
sruGNQHd7t,3.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,1.0,5.0,3.0,,,,
GGlpykXDCa,5.0,Accept,8.00,Accept (Oral),Accept,YES,0.0000,0.0000,8.0,8.0,8.0,,,,
BpyHIrpUOL,4.5,Reject,6.00,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,6.0,6.0,,,
QSuOHV62IQ,6.0,Accept,3.50,Reject,Reject,NO,0.0000,0.0000,3.0,3.0,3.0,5.0,,,
4hdDPa9bpI,5.0,Accept,4.75,Reject,Reject,NO,0.0000,0.0000,8.0,5.0,3.0,3.0,,,
gI0kPklUKS,5.5,Reject,7.50,Accept (Spotlight),Accept,NO,0.0000,0.0000,6.0,8.0,8.0,8.0,,,
jbfDg4DgAk,5.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,1.0,5.0,,,
OE67D1Oatr,4.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,3.0,,,
E4kuNZWost,5.0,Reject,5.67,Reject,Reject,YES,0.0000,0.0000,5.0,6.0,6.0,,,,
2kGKsyhtvh,6.0,Accept,7.50,Accept (Spotlight),Accept,YES,0.0000,0.0000,8.0,8.0,6.0,8.0,,,
