paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
Acvo2RGSCy,7.5,Accept,7.33,Accept (Spotlight),Accept,YES,0.0000,0.0000,8.0,6.0,8.0,,,,
dxMffCAd4w,3.5,N/A,2.50,Reject,Reject,N/A,0.0000,0.0000,3.0,1.0,3.0,3.0,,,
CPhqrV5Ehg,5.5,Reject,6.00,Reject,Reject,YES,0.0000,0.0000,8.0,3.0,5.0,6.0,8.0,,
bB0OKNpznp,4.5,Reject,6.00,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,6.0,6.0,6.0,,
eFoj2egr7G,5.5,Reject,6.00,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,8.0,5.0,6.0,,
cGu5LtGcRD,4.5,Reject,4.75,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,5.0,6.0,,,
1iuaxjssVp,6.0,Accept,7.25,Accept (Spotlight),Accept,YES,0.0000,0.0000,8.0,5.0,8.0,8.0,,,
GUd6zTrTBb,5.0,Reject,5.25,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,5.0,5.0,,,
RwiUmrEHgR,4.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,3.0,,,
TjuS86sQv8,4.5,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,3.0,5.0,,,
Bt1vnCnAVS,4.5,Reject,6.25,Accept (Poster),Accept,NO,0.0000,0.0000,5.0,8.0,6.0,6.0,,,
cRR0oDFEBC,6.0,Accept,7.20,Accept (Spotlight),Accept,YES,0.0000,0.0000,6.0,8.0,8.0,8.0,6.0,,
FHQDCQFD8y,4.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,3.0,,,
hRwxZmcvW9,5.5,Reject,6.00,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,6.0,,,,
Ev4iw23gdI,6.0,Accept,6.00,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,6.0,6.0,6.0,,,
BWuBDdXVnH,5.5,Reject,6.25,Accept (Poster),Accept,NO,0.0000,0.0000,5.0,6.0,8.0,6.0,,,
1YYp1rPRlm,6.0,Accept,5.75,Reject,Reject,NO,0.0000,0.0000,6.0,6.0,6.0,5.0,,,
aWXnKanInf,5.0,Reject,8.00,Accept (Oral),Accept,NO,0.0000,0.0000,8.0,8.0,8.0,,,,
DRiLWb8bJg,5.5,Reject,7.50,Accept (Spotlight),Accept,NO,0.0000,0.0000,8.0,8.0,8.0,6.0,,,
0GC81gpjOo,4.5,Reject,4.50,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,6.0,6.0,,,
2xvisNIfdw,5.0,Accept,5.67,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,6.0,3.0,6.0,5.0,6.0,
sTQC4TeYo1,5.5,Accept,2.00,Reject,Reject,NO,0.0000,0.0000,3.0,1.0,3.0,1.0,,,
aMBSY2ebPw,7.0,Accept,7.33,Accept (Spotlight),Accept,YES,0.0000,0.0000,6.0,8.0,8.0,,,,
l6QnSQizmN,6.0,Accept,7.25,Accept (Spotlight),Accept,YES,0.0000,0.0000,5.0,8.0,8.0,8.0,,,
Nx4PMtJ1ER,6.5,Accept,8.00,Accept (Spotlight),Accept,YES,0.0000,0.0000,8.0,10.0,6.0,8.0,,,
q6hEuC48Dk,5.0,Reject,3.80,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,3.0,5.0,3.0,,
5sU32OCxgZ,5.0,Reject,6.00,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,6.0,6.0,,,
BZQmpsuW7D,5.0,Reject,5.75,Reject,Reject,YES,0.0000,0.0000,6.0,3.0,6.0,8.0,,,
cPZepCZlFW,5.5,Reject,3.25,Reject,Reject,YES,0.0000,0.0000,3.0,6.0,1.0,3.0,,,
ugXGFCS6HK,6.5,Accept,6.20,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,8.0,6.0,5.0,6.0,,
uy9oR0nYCW,5.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,1.0,3.0,5.0,1.0,,,
2VhFZPYqjE,5.5,Accept,4.00,Reject,Reject,NO,0.0000,0.0000,3.0,3.0,6.0,,,,
iv1TpRCJeK,6.0,Accept,6.33,Accept (Poster),Accept,YES,0.0000,0.0000,5.0,6.0,8.0,,,,
ZxZabvtLwV,6.5,Accept,5.67,Reject,Reject,NO,0.0000,0.0000,6.0,5.0,6.0,,,,
AExygKPmnJ,5.5,Reject,5.20,Reject,Reject,YES,0.0000,0.0000,8.0,5.0,3.0,5.0,5.0,,
6e3hoDZKuO,5.0,Reject,3.50,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,5.0,3.0,,,
61ss5RA1MM,6.0,Accept,6.50,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,6.0,8.0,6.0,,,
FCMpUOZkxi,6.5,Accept,6.75,Accept (Poster),Accept,YES,0.0000,0.0000,5.0,8.0,6.0,8.0,,,
1H90Gb9rJ9,6.5,Accept,6.75,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,8.0,6.0,5.0,,,
mBrAuyd26J,5.5,Borderline,4.33,Reject,Reject,NO,0.0000,0.0000,5.0,3.0,5.0,,,,
7BQkXXM8Fy,6.5,Accept,7.50,Accept (Spotlight),Accept,YES,0.0000,0.0000,8.0,6.0,10.0,6.0,,,
BMWOw3xhUQ,4.5,Reject,3.75,Reject,Reject,YES,0.0000,0.0000,3.0,5.0,1.0,6.0,,,
s1zO0YBEF8,5.0,Reject,6.50,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,6.0,8.0,,,
1c73HCZpbo,5.5,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,3.0,3.0,,,
EW6bNEqalF,5.5,Reject,7.00,Accept (Poster),Accept,NO,0.0000,0.0000,8.0,8.0,6.0,6.0,,,
BINwUtUGuq,5.5,Reject,5.25,Reject,Reject,YES,0.0000,0.0000,3.0,6.0,6.0,6.0,,,
HHKboqbkec,5.5,Reject,5.75,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,6.0,6.0,,,
2bWf4M5tRo,5.5,Reject,4.60,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,5.0,3.0,5.0,,
cojJ2s1e35,5.5,Reject,5.50,Reject,Reject,YES,0.0000,0.0000,5.0,6.0,6.0,5.0,,,
3fGtV4Zfgq,6.0,Accept,4.25,Accept (Poster),Accept,YES,0.0000,0.0000,3.0,5.0,6.0,3.0,,,
fgaNjiijS1,5.5,Accept,5.75,Reject,Reject,NO,0.0000,0.0000,8.0,6.0,6.0,3.0,,,
SThJXvucjQ,6.0,Accept,6.67,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,6.0,8.0,,,,
USGY5t7fwG,6.0,Accept,4.40,Reject,Reject,NO,0.0000,0.0000,5.0,3.0,6.0,5.0,3.0,,
4LiegvCeQD,5.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,1.0,,,
uJqKf24HGN,5.5,Reject,7.00,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,8.0,6.0,8.0,,,
BpyHIrpUOL,5.5,Reject,6.00,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,6.0,6.0,,,
TjP1d8PP8l,5.0,Reject,6.50,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,8.0,6.0,6.0,,,
9VMW4iXfKt,6.0,Accept,5.50,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,5.0,6.0,5.0,,,
i4ouG6Kc8M,5.5,Accept,2.50,Reject,Reject,NO,0.0000,0.0000,3.0,3.0,3.0,1.0,,,
2p03KljxE9,5.5,Reject,6.00,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,8.0,5.0,5.0,,,
1F8xTfv6ah,6.5,Accept,5.25,Accept (Poster),Accept,YES,0.0000,0.0000,5.0,6.0,5.0,5.0,,,
TvfkSyHZRA,6.5,Accept,7.00,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,8.0,8.0,5.0,8.0,,
rpbzBXdo4x,6.5,Accept,5.00,Reject,Reject,NO,0.0000,0.0000,6.0,5.0,3.0,6.0,,,
F0Zd3knG9j,6.5,Accept,5.00,Reject,Reject,NO,0.0000,0.0000,5.0,5.0,5.0,,,,
MyotJECv0D,3.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,5.0,1.0,3.0,1.0,,,
I1VCj1l1Zn,4.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,,,,
j4LITBSUjs,5.5,Reject,7.40,Accept (Spotlight),Accept,NO,0.0000,0.0000,8.0,8.0,5.0,8.0,8.0,,
4IRYGvyevW,6.5,Accept,5.60,Reject,Reject,NO,0.0000,0.0000,6.0,5.0,5.0,6.0,6.0,,
QC2qE1tcmd,4.5,Reject,6.80,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,6.0,8.0,8.0,,
qxRoo7ULCo,5.5,Accept,7.50,Accept (Spotlight),Accept,YES,0.0000,0.0000,8.0,8.0,8.0,6.0,,,
tkqNDbukWW,6.0,Accept,5.50,Reject,Reject,NO,0.0000,0.0000,6.0,6.0,5.0,5.0,,,
B6AQzaQCsl,5.5,Reject,6.50,Reject,Reject,YES,0.0000,0.0000,6.0,6.0,8.0,6.0,,,
2MqyCIxLSi,5.5,Reject,6.25,Reject,Reject,YES,0.0000,0.0000,5.0,6.0,8.0,6.0,,,
X5hrhgndxW,6.0,Accept,5.00,Accept (Poster),Accept,YES,0.0000,0.0000,3.0,8.0,6.0,3.0,,,
HNbNcDsgxL,4.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,3.0,1.0,3.0,,
cQ25MQQSNI,6.0,Accept,6.00,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,6.0,6.0,,,,
KlN00vQEY2,5.0,Reject,5.60,Accept (Poster),Accept,NO,0.0000,0.0000,5.0,6.0,6.0,5.0,6.0,,
uuOmdQy6p7,4.0,Reject,4.25,Reject,Reject,YES,0.0000,0.0000,5.0,6.0,5.0,1.0,,,
APojAzJQiq,6.0,Accept,7.50,Accept (Spotlight),Accept,YES,0.0000,0.0000,6.0,8.0,8.0,8.0,,,
