paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
RLSWbk9kPw,6.0,Accept,6.00,Accept,Accept,YES,0.000166,0.0000,6.0,6.0,6.0,6.0,,,
sdn7ocpvuX,7.0,Accept,3.00,Reject,Reject,NO,0.000172,0.0000,3.0,3.0,3.0,3.0,,,
zJbwrk1DHc,6.0,Accept,4.00,Reject,Reject,NO,0.000167,0.0000,3.0,3.0,5.0,5.0,,,
FL1VmOgiO8,4.0,Reject,2.33,Reject,Reject,YES,0.000205,0.0000,3.0,1.0,3.0,,,,
2ATD8a8P3C,5.0,Accept,5.67,Accept,Accept,YES,0.000253,0.0000,6.0,5.0,6.0,,,,
COO51g41Q4,8.0,Accept,6.50,Accept,Accept,YES,0.000224,0.0000,6.0,8.0,6.0,6.0,,,
XIxhINXtQk,7.0,Accept,6.33,Accept,Accept,YES,0.000242,0.0000,5.0,8.0,6.0,,,,
3QkzYBSWqL,7.5,Accept,5.50,Accept,Accept,YES,0.000238,0.0000,6.0,5.0,5.0,6.0,,,
Bpkhu2ExxU,4.0,Reject,6.50,Accept,Accept,NO,0.000214,0.0000,6.0,8.0,6.0,6.0,,,
tJE9WeqHEI,6.0,Accept,6.75,Reject,Reject,NO,0.000262,0.0000,5.0,8.0,6.0,8.0,,,
5IOKw3AQe4,7.5,Accept,6.00,Reject,Reject,NO,0.000276,0.0000,6.0,6.0,6.0,,,,
sqRgz88TM3,7.0,Accept,6.33,Accept,Accept,YES,0.000281,0.0000,8.0,3.0,8.0,,,,
ufhrQG5xie,7.0,Accept,6.20,Reject,Reject,NO,0.000283,0.0000,6.0,6.0,3.0,8.0,8.0,,
zRkM6UcA22,8.0,Accept,5.50,Accept,Accept,YES,0.000276,0.0000,5.0,6.0,8.0,3.0,,,
aY3L65HgHJ,6.0,Accept,6.00,Accept,Accept,YES,0.000268,0.0000,6.0,6.0,6.0,6.0,,,
qPzYF2EpXb,4.0,Reject,6.00,Accept,Accept,NO,0.002241,0.0000,6.0,6.0,6.0,6.0,,,
pVKEFtGkM6,8.0,Accept,5.50,Reject,Reject,NO,0.000263,0.0000,6.0,5.0,5.0,6.0,,,
26kgSlMmhA,6.0,Accept,4.71,Reject,Reject,NO,0.002398,0.0000,6.0,6.0,5.0,3.0,3.0,5.0,
j20nMRUWK9,6.5,Accept,5.80,Reject,Reject,NO,0.000282,0.0000,8.0,5.0,6.0,5.0,5.0,,
1OP4crhgkD,6.0,Accept,5.00,Reject,Reject,NO,0.000259,0.0000,6.0,3.0,5.0,6.0,,,
6IyKniOabO,6.0,Accept,4.67,Reject,Reject,NO,0.002103,0.0000,8.0,5.0,1.0,,,,
PxoFut3dWW,8.0,Accept,6.25,Accept,Accept,YES,0.000278,0.0000,8.0,5.0,6.0,6.0,,,
4w4PDIT3h4,5.5,Accept,4.00,Reject,Reject,NO,0.000278,0.0000,3.0,5.0,5.0,3.0,,,
N8N0hgNDRt,7.5,Accept,8.00,Accept,Accept,YES,0.002219,0.0000,8.0,8.0,8.0,8.0,,,
jkVQ31GeIA,7.0,Accept,5.50,Reject,Reject,NO,0.000286,0.0000,6.0,5.0,5.0,6.0,,,
A51NEXIq1J,7.5,Accept,6.50,Accept,Accept,YES,0.000287,0.0000,8.0,6.0,6.0,6.0,,,
qPH7lAyQgV,7.0,Accept,5.75,Reject,Reject,NO,0.000285,0.0000,6.0,6.0,6.0,5.0,,,
PQzdtBiKie,6.0,Accept,4.33,Reject,Reject,NO,0.000288,0.0000,6.0,6.0,1.0,,,,
vtUbXd5Cyg,7.0,Accept,4.50,Reject,Reject,NO,0.000287,0.0000,3.0,5.0,5.0,5.0,,,
eVsSjNRuAp,6.0,Accept,5.50,Reject,Reject,NO,0.002346,0.0000,6.0,6.0,5.0,5.0,,,
2tIyA5cri8,6.5,Accept,6.25,Accept,Accept,YES,0.002245,0.0000,8.0,6.0,5.0,6.0,,,
PoSq0B0ffE,7.0,Accept,3.67,Reject,Reject,NO,0.002096,0.0000,3.0,5.0,3.0,,,,
peZbJlOVAN,7.0,Accept,5.25,Reject,Reject,NO,0.002134,0.0000,5.0,6.0,5.0,5.0,,,
XdcuqZRhjQ,5.0,Accept,5.00,Reject,Reject,NO,0.000349,0.0000,3.0,6.0,5.0,6.0,,,
gQPwP1JFwC,6.5,Accept,3.50,Reject,Reject,NO,0.002548,0.0000,3.0,3.0,3.0,5.0,,,
VVgGbB9TNV,7.0,Accept,5.33,Accept,Accept,YES,0.000328,0.0000,5.0,6.0,5.0,,,,
zhJDD85QHD,5.0,Accept,3.00,Reject,Reject,NO,0.000330,0.0000,3.0,3.0,3.0,3.0,,,
NLAKxnnSuW,8.0,Accept,3.67,Reject,Reject,NO,0.000370,0.0000,3.0,5.0,3.0,,,,
34syfledje,5.5,Accept,6.00,Reject,Reject,NO,0.000315,0.0000,8.0,5.0,5.0,,,,
mvGa1ikBD3,6.0,Accept,4.25,Reject,Reject,NO,0.000315,0.0000,3.0,6.0,3.0,5.0,,,
GZ6AcZwA8r,3.0,Reject,7.50,Accept,Accept,NO,0.000301,0.0000,8.0,6.0,8.0,8.0,,,
Luss2sa0vc,6.5,Accept,5.50,Accept,Accept,YES,0.000369,0.0000,8.0,5.0,6.0,1.0,8.0,5.0,
MagmwodCAB,6.5,Accept,7.20,Accept,Accept,YES,0.000319,0.0000,8.0,8.0,6.0,6.0,8.0,,
8rhHI6C8iC,5.5,Accept,4.80,Reject,Reject,NO,0.000358,0.0000,5.0,3.0,6.0,5.0,5.0,,
X7gqOBG8ow,7.0,Accept,5.20,Reject,Reject,NO,0.000418,0.0000,5.0,5.0,5.0,5.0,6.0,,
jJ7azzLMdE,5.5,Accept,3.50,Reject,Reject,NO,0.002274,0.0000,5.0,3.0,3.0,3.0,,,
FYKVPOHCpE,5.0,Accept,6.67,Accept,Accept,YES,0.000412,0.0000,6.0,8.0,6.0,,,,
gqzknNJShg,4.0,Reject,5.25,Reject,Reject,YES,0.000221,0.0000,5.0,5.0,5.0,6.0,,,
LFn7s8yRUF,1.0,Reject,1.50,Reject,Reject,YES,0.000219,0.0000,3.0,1.0,1.0,1.0,,,
ClqyY6Bvb7,7.0,Accept,5.75,Reject,Reject,NO,0.000219,0.0000,3.0,8.0,6.0,6.0,,,
Kfpaq5CJPy,7.0,Accept,4.50,Reject,Reject,NO,0.000312,0.0000,5.0,3.0,5.0,5.0,,,
f4HohsyNEk,6.5,Accept,3.50,Reject,Reject,NO,0.000405,0.0000,5.0,3.0,3.0,3.0,,,
x4W8P7ybTE,4.0,Reject,4.75,Reject,Reject,YES,0.002195,0.0000,3.0,8.0,5.0,3.0,,,
PfAqPxPsAj,7.0,Accept,5.00,Reject,Reject,NO,0.000241,0.0000,5.0,3.0,6.0,6.0,5.0,,
breVfEOZLv,7.0,Accept,4.25,Reject,Reject,NO,0.000314,0.0000,6.0,3.0,3.0,5.0,,,
sicB10feCQ,6.0,Accept,4.25,Reject,Reject,NO,0.000238,0.0000,3.0,6.0,5.0,3.0,,,
QjTSaFXg25,6.0,Accept,6.50,Accept,Accept,YES,0.000255,0.0000,6.0,6.0,6.0,8.0,,,
c3i8uRSE9h,6.0,Accept,3.75,Reject,Reject,NO,0.002278,0.0000,6.0,3.0,3.0,3.0,,,
AZVvTBxTdZ,6.0,Accept,5.50,Reject,Reject,NO,0.002232,0.0000,6.0,5.0,6.0,5.0,,,
o7BwUyXz1f,8.0,Accept,4.75,Reject,Reject,NO,0.000239,0.0000,3.0,5.0,8.0,3.0,,,
TdIx7u2ECv,6.0,Accept,5.25,Reject,Reject,NO,0.000272,0.0000,5.0,5.0,6.0,5.0,,,
XTXaJmWXKu,7.0,Accept,3.00,Reject,Reject,NO,0.002239,0.0000,3.0,3.0,3.0,,,,
gfFVATffPd,7.0,Accept,6.00,Accept,Accept,YES,0.000216,0.0000,6.0,6.0,6.0,,,,
PYdk0V880P,5.0,Accept,5.00,Reject,Reject,NO,0.002206,0.0000,6.0,3.0,6.0,,,,
3ukT8oODY0,5.5,Accept,5.33,Reject,Reject,NO,0.000338,0.0000,5.0,5.0,6.0,,,,
vW1SkPl4kp,8.0,Accept,5.67,Accept,Accept,YES,0.000365,0.0000,3.0,8.0,6.0,,,,
GXtmuiVrOM,7.0,Accept,6.00,Accept,Accept,YES,0.000278,0.0000,8.0,5.0,6.0,6.0,6.0,5.0,
cklg91aPGk,6.0,Accept,5.00,Reject,Reject,NO,0.000302,0.0000,6.0,5.0,6.0,3.0,5.0,,
