model,mae,rmse,r2,pearson,spearman
ridge,1.2753432829122848,1.607772606880965,0.24232808401226824,0.49298273504111745,0.5074007178142359
elastic_net,1.2753570585414593,1.6154927508733086,0.23503429155635913,0.48563248836787665,0.4933355558512633
extra_trees,1.2814981073446323,1.6229981261343076,0.2279099123167443,0.5342493471206744,0.5723641846307155
random_forest,1.28923672227396,1.623517400675335,0.2274157763627327,0.56485767512822,0.5801586285518627
svr_rbf,1.2899898774745713,1.6187729397900326,0.23192467750045564,0.48702602152627783,0.5185942425431016
ridge_l2_norm,1.2932539612223382,1.6069064390079355,0.24314423710518862,0.49845535182300416,0.5120891051352268
kernel_ridge_rbf,1.3022464292142,1.6020912174643165,0.24767339658668486,0.5060211653585425,0.5232826298640924
pca50_ridge,1.3496851956309195,1.6647904141524978,0.1876352446230376,0.43686403023356546,0.4501730900773911
mean,1.4772416287722199,1.8491151055784492,-0.0022125409620148417,,
pls25,1.598907090084402,1.9577437182888804,-0.12342379509366985,0.42967587619590486,0.405633410527978
