model,pca_dim,pred_variant,mean_pearson,mean_rmse
extra_trees,128,pred_raw,0.5891607926976148,1.624994037580113
extra_trees,128,pred_dup2,0.5772596095373376,1.6132172936853704
elastic_net,64,pred_sq,0.5761531010538535,1.6276190392062726
elastic_net,64,pred_dup2,0.5738943366877922,1.629261186291665
elastic_net,64,pred_raw,0.5735802238753266,1.6326167109422745
elastic_net,32,pred_raw,0.5732385548322206,1.638730225801859
extra_trees,128,pred_sq,0.5729591196582294,1.6172280754280604
elastic_net,32,pred_sq,0.5712682559160099,1.636837663262901
elastic_net,32,pred_dup2,0.5694740840120065,1.639265365898154
elastic_net,16,pred_sq,0.5684125138970478,1.6393797887885218
elastic_net,128,pred_raw,0.5663477512220694,1.6303024067022078
elastic_net,16,pred_dup2,0.5662191988629861,1.642131811485121
elastic_net,16,pred_raw,0.5637246212526671,1.651959454775915
random_forest,128,pred_sq,0.5635324498811729,1.6346932167637853
random_forest,128,pred_dup2,0.5635324498811729,1.6346932167637849
ridge,16,pred_sq,0.5621226752658282,1.6464508286779433
random_forest,128,pred_raw,0.5604088724486519,1.640924882834701
svr_rbf,16,pred_sq,0.559771185612121,1.6409337836460753
svr_rbf,16,pred_dup2,0.5591850644992851,1.6408229244867372
ridge,16,pred_dup2,0.5590267264614583,1.6485664371341735
svr_rbf,16,pred_raw,0.5577407210046509,1.6424286460027573
extra_trees,16,pred_raw,0.550454202516306,1.6223389350472037
random_forest,64,pred_dup2,0.5497005224807578,1.6471266297220903
random_forest,64,pred_sq,0.5497005224807578,1.6471266297220903
extra_trees,16,pred_dup2,0.5480004775438612,1.614642062469238
random_forest,64,pred_raw,0.5477758976960186,1.6475253341778138
extra_trees,64,pred_raw,0.5473996620087178,1.661027537785311
random_forest,16,pred_dup2,0.5469984828516493,1.6362815008473146
random_forest,16,pred_sq,0.5469984828516492,1.6362815008473148
random_forest,16,pred_raw,0.5467407408886207,1.6367844739114497
extra_trees,64,pred_sq,0.5464643773874374,1.6468248540706867
extra_trees,32,pred_raw,0.5427454599256205,1.647595340823185
extra_trees,16,pred_sq,0.5422096184792272,1.628648697291307
extra_trees,64,pred_dup2,0.5412429550416983,1.6526582656835849
ridge,16,pred_raw,0.5393776221606588,1.6791430637977331
extra_trees,32,pred_dup2,0.5350731193735763,1.6397341702618302
extra_trees,32,pred_sq,0.5291438464684183,1.6452616563461384
random_forest,32,pred_raw,0.5193349422543428,1.6799275053089366
random_forest,32,pred_sq,0.5180069843104051,1.6822941491403203
random_forest,32,pred_dup2,0.518006984310405,1.6822941491403203
ridge,32,pred_sq,0.5073152852566185,1.6891548871184923
ridge,32,pred_dup2,0.5058715907286762,1.6908927845103654
elastic_net,128,pred_dup2,0.5058656954563451,1.7793844056366133
elastic_net,128,pred_sq,0.5007006546664883,1.7636687378642435
ridge,32,pred_raw,0.4717345148141846,1.736840716050649
svr_rbf,32,pred_sq,0.4634362372502622,1.779111052812551
svr_rbf,32,pred_dup2,0.46240467739702196,1.7800537721884369
ridge,64,pred_sq,0.4481364768648518,1.7768720040185824
ridge,64,pred_dup2,0.4447726845622292,1.778301205277095
svr_rbf,32,pred_raw,0.43558011360963844,1.7974673189561936
svr_rbf,64,pred_sq,0.38149812075140016,1.8671508243796164
svr_rbf,64,pred_dup2,0.38047139202269953,1.8684193955528205
svr_rbf,128,pred_sq,0.37433961538631794,1.8259181180688262
svr_rbf,128,pred_dup2,0.37138166390569693,1.8290618341929057
ridge,64,pred_raw,0.3664446891564207,1.8487851468622103
svr_rbf,64,pred_raw,0.327176600850843,1.910506504095911
svr_rbf,128,pred_raw,0.3002461574889137,1.8805453838420703
ridge,128,pred_dup2,0.25490990460161045,2.209059440251807
ridge,128,pred_sq,0.2548186437527955,2.205162589751729
ridge,128,pred_raw,0.22309960681978955,2.2214044374610764
