paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
jv2zHOalpL,-100.0,Error,6.00,Accept,Accept,NO,0.0000,0.0000,6.0,6.0,6.0,6.0,,,
NTHMw8S1Ow,6.0,Accept,7.33,Accept,Accept,YES,0.0000,0.0000,6.0,8.0,8.0,,,,
IAkflJmNrC,6.5,Accept,4.00,Reject,Reject,NO,0.0000,0.0000,5.0,5.0,3.0,3.0,,,
wP0nDEAlap,6.0,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,3.0,5.0,,,
Dnn7SoD224,7.5,Accept,6.00,Reject,Reject,NO,0.0000,0.0000,6.0,6.0,6.0,6.0,,,
XwibrZ9MHG,7.5,Accept,4.00,Reject,Reject,NO,0.0000,0.0000,5.0,3.0,5.0,3.0,,,
oAMArMMQxb,7.5,Accept,6.25,Accept,Accept,YES,0.0000,0.0000,6.0,8.0,3.0,8.0,,,
j50c2tkQUu,5.5,Reject,4.33,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,5.0,,,,
gGpuhyjIlS,6.5,Accept,4.50,Reject,Reject,NO,0.0000,0.0000,5.0,3.0,5.0,5.0,,,
o1IiiNIoaA,6.0,Accept,5.20,Accept,Accept,YES,0.0000,0.0000,6.0,8.0,6.0,3.0,3.0,,
25Zlvl7JxW,6.0,Accept,6.50,Accept,Accept,YES,0.0000,0.0000,6.0,6.0,8.0,6.0,,,
XfKSDgqIRj,7.0,Accept,6.00,Accept,Accept,YES,0.0000,0.0000,6.0,6.0,6.0,6.0,,,
2iGiSHmeAN,6.5,Reject,6.50,Accept,Accept,NO,0.0000,0.0000,6.0,6.0,8.0,6.0,,,
yOrtDi6IXs,7.5,Accept,4.25,Reject,Reject,NO,0.0000,0.0000,3.0,5.0,6.0,3.0,,,
XC0nEtnevb,7.0,Accept,4.75,Reject,Reject,NO,0.0000,0.0000,5.0,6.0,3.0,5.0,,,
oYjPk8mqAV,7.5,Accept,8.00,Accept,Accept,YES,0.0000,0.0000,8.0,8.0,8.0,8.0,,,
FvfhHucpLd,7.0,Accept,3.67,Reject,Reject,NO,0.0000,0.0000,3.0,3.0,5.0,,,,
H6UMc5VS70,7.0,Accept,5.75,Reject,Reject,NO,0.0000,0.0000,6.0,5.0,6.0,6.0,,,
GrDne4055L,5.0,Reject,6.25,Accept,Accept,NO,0.0000,0.0000,8.0,6.0,5.0,6.0,,,
PqjQmLNuJt,6.5,Accept,2.50,Reject,Reject,NO,0.0000,0.0000,3.0,5.0,1.0,1.0,,,
OzUNDnpQyd,6.0,Accept,7.00,Accept,Accept,YES,0.0000,0.0000,8.0,6.0,8.0,6.0,,,
AfZH9EEuRR,5.0,Reject,2.20,Reject,Reject,YES,0.0000,0.0000,1.0,1.0,3.0,3.0,3.0,,
OKOjkFrhSs,5.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,3.0,,,
l30moNjSY9,6.0,Reject,6.00,Accept,Accept,NO,0.0000,0.0000,6.0,6.0,6.0,,,,
Y6KUBkUimC,7.0,Accept,6.00,Reject,Reject,NO,0.0000,0.0000,6.0,8.0,5.0,5.0,,,
7OO8tTOgh4,5.0,Reject,5.25,Reject,Reject,YES,0.0000,0.0000,5.0,6.0,5.0,5.0,,,
tOzCcDdH9O,6.5,Accept,6.25,Accept,Accept,YES,0.0000,0.0000,6.0,8.0,6.0,5.0,,,
ikqcUzUogm,7.5,Accept,4.75,Reject,Reject,NO,0.0000,0.0000,3.0,5.0,6.0,5.0,,,
O34CXUAZ0E,6.5,Accept,5.00,Reject,Reject,NO,0.0000,0.0000,5.0,6.0,6.0,3.0,,,
fjJcJhIzYx,5.5,Reject,4.75,Reject,Reject,YES,0.0000,0.0000,3.0,6.0,5.0,5.0,,,
Y1XkzMJpPd,6.5,Accept,6.75,Accept,Accept,YES,0.0000,0.0000,3.0,8.0,8.0,8.0,,,
czVzzXPCkw,6.0,Accept,4.33,Reject,Reject,NO,0.0000,0.0000,5.0,5.0,3.0,,,,
z9UBpl4pv5,7.0,Accept,4.33,Reject,Reject,NO,0.0000,0.0000,5.0,5.0,3.0,,,,
1bbPQShCT2,6.0,Accept,6.50,Accept,Accept,YES,0.0000,0.0000,6.0,8.0,6.0,6.0,,,
KtqZrNjvjd,5.5,Reject,5.80,Reject,Reject,YES,0.0000,0.0000,6.0,6.0,6.0,5.0,6.0,,
W2Wkp9MQsF,7.0,Accept,5.75,Accept,Accept,YES,0.0000,0.0000,6.0,6.0,5.0,6.0,,,
0ApkwFlCxq,7.0,Accept,6.25,Reject,Reject,NO,0.0000,0.0000,8.0,6.0,5.0,6.0,,,
YCOVTlMFIG,7.0,Accept,5.00,Reject,Reject,NO,0.0000,0.0000,6.0,5.0,8.0,5.0,3.0,3.0,
0VZP2Dr9KX,7.0,Accept,5.25,Reject,Reject,NO,0.0000,0.0000,3.0,5.0,8.0,5.0,,,
poFAoivHQk,5.5,Accept,3.75,Reject,Reject,NO,0.0000,0.0000,1.0,3.0,6.0,5.0,,,
W6yIKliMot,5.5,Reject,6.50,Accept,Accept,NO,0.0000,0.0000,6.0,6.0,6.0,8.0,,,
2dLMPOY0HW,7.0,Accept,4.67,Reject,Reject,NO,0.0000,0.0000,8.0,3.0,3.0,,,,
lpt4ADbacU,6.0,Accept,4.00,Reject,Reject,NO,0.0000,0.0000,5.0,3.0,5.0,3.0,,,
HYyRwm367m,7.0,Accept,6.50,Accept,Accept,YES,0.0000,0.0000,6.0,8.0,6.0,6.0,,,
2jf5x5XoYk,7.5,Accept,6.75,Accept,Accept,YES,0.0000,0.0000,8.0,6.0,5.0,8.0,,,
S1OAqOtN5U,7.0,Accept,5.25,Reject,Reject,NO,0.0000,0.0000,5.0,6.0,5.0,5.0,,,
78iGZdqxYY,6.0,Accept,6.00,Accept,Accept,YES,0.0000,0.0000,6.0,6.0,6.0,6.0,,,
1V1QQYARmd,5.5,Reject,5.50,Reject,Reject,YES,0.0000,0.0000,8.0,5.0,6.0,3.0,,,
AialDkY6y3,5.0,Reject,4.40,Reject,Reject,YES,0.0000,0.0000,3.0,5.0,3.0,5.0,6.0,,
Z33PEFMuU3,6.5,Accept,5.75,Reject,Reject,NO,0.0000,0.0000,6.0,6.0,5.0,6.0,,,
