paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
0JLUFJMo5p,2.5,Reject,1.00,Reject,Reject,YES,0.5575,0.0000,0,2,0,2,,,
0lW2UBiEWN,5.0,Reject,4.50,Reject,Reject,YES,0.5475,0.0000,4,6,4,4,,,
0nvQ5kHXf4,5.5,Reject,6.00,Accept (Oral),Accept,NO,0.6507,0.0000,6,6,6,,,,
0cbUKCyBsH,5.0,Reject,3.50,Reject,Reject,YES,0.5065,0.0000,4,2,4,4,,,
0kHbD6ad07,6.5,Accept,5.00,Accept (Poster),Accept,YES,0.4910,0.0000,4,4,6,6,,,
0obDxMfeYu,6.0,Accept,3.20,Reject,Reject,NO,0.5373,0.0000,2,2,4,2,6,,
05hNleYOcG,5.5,Reject,2.50,Accept (Poster),Accept,NO,0.5932,0.0000,2,4,2,2,,,
0TmVqOpBbK,6.0,Accept,6.50,Accept (Poster),Accept,YES,0.5560,0.0000,6,8,4,8,,,
0K4jNe8ik9,4.0,Reject,1.00,Withdrawn (treated as Reject),Reject,YES,0.6761,0.0000,0,0,2,2,,,
0aBAAS0rRT,4.5,Reject,5.33,Accept (Poster),Accept,NO,0.5746,0.0000,6,4,6,,,,
0zKfU1rsXd,6.0,Accept,5.00,Accept (Poster),Accept,YES,0.4258,0.0000,4,4,6,6,,,
173Pq3F31r,5.5,Reject,5.50,Accept (Poster),Accept,NO,0.5029,0.0000,8,8,4,2,,,
0xHWd4CUaX,4.0,Reject,2.00,Reject,Reject,YES,0.4553,0.0000,0,2,4,2,,,
1E4Bltg6Xb,1.0,Reject,4.67,Accept (Poster),Accept,NO,0.2808,0.0000,6,6,2,,,,
1CR1MTIgmq,3.0,Reject,0.00,Reject,Reject,YES,0.5469,0.0000,0,0,0,,,,
1AYy3T3Xjk,4.5,Reject,2.50,Reject,Reject,YES,0.5819,0.0000,2,4,2,2,,,
1EdAn5gMVv,6.5,Accept,5.00,Reject,Reject,NO,0.4560,0.0000,6,8,2,4,,,
1FCZ4f8dAY,6.0,Accept,7.00,Accept (Poster),Accept,YES,0.4724,0.0000,10,4,8,6,,,
1PIfB5w05x,6.5,Accept,7.50,Accept (Poster),Accept,YES,0.5465,0.0000,8,8,8,6,,,
1j0ormf8uI,4.0,Reject,5.20,Accept (Poster),Accept,NO,0.5066,0.0000,8,4,6,6,2,,
20DsUSauCj,7.5,Accept,3.33,Reject,Reject,NO,0.4055,0.0000,2,4,4,,,,
23Ea4fVGiI,4.0,Reject,0.67,Reject,Reject,YES,0.4870,0.0000,2,0,0,,,,
2EQPpEZtEK,5.5,Accept,3.33,Reject,Reject,NO,0.5066,0.0000,2,4,4,,,,
2PJkG6aV4A,5.0,Reject,6.00,Reject,Reject,YES,0.5348,0.0000,4,8,8,4,,,
2cq8FyBfDk,4.0,Reject,3.20,Reject,Reject,YES,0.5362,0.0000,2,0,4,4,6,,
2eAGrunxVz,6.5,Accept,7.50,Accept (Oral),Accept,YES,0.4278,0.0000,8,8,8,6,,,
2uTxLC4LmC,6.0,Accept,5.00,Accept (Poster),Accept,YES,0.4450,0.0000,2,4,6,8,,,
2hTLJEgCbv,2.5,Reject,1.00,Reject,Reject,YES,0.4391,0.0000,0,0,2,2,,,
