paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
05hNleYOcG,6.0,Accept,2.5,Accept (Poster),Accept,YES,0.0,0.0,2.0,4.0,2.0,2.0,,,
0K4jNe8ik9,4.5,Reject,1.0,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,0.0,0.0,2.0,2.0,,,
0TmVqOpBbK,5.5,Reject,6.5,Accept (Poster),Accept,NO,0.0,0.0,6.0,8.0,4.0,8.0,,,
0cbUKCyBsH,4.5,Reject,3.5,Reject,Reject,YES,0.0,0.0,4.0,2.0,4.0,4.0,,,
0zKfU1rsXd,6.5,Accept,5.0,Accept (Poster),Accept,YES,0.0,0.0,4.0,4.0,6.0,6.0,,,
173Pq3F31r,5.5,Reject,5.5,Accept (Poster),Accept,NO,0.0,0.0,8.0,8.0,4.0,2.0,,,
1EdAn5gMVv,5.5,Reject,5.0,Reject,Reject,YES,0.0,0.0,6.0,8.0,2.0,4.0,,,
1FCZ4f8dAY,6.0,Accept,7.0,Accept (Poster),Accept,YES,0.0,0.0,10.0,4.0,8.0,6.0,,,
1PIfB5w05x,6.0,Accept,7.5,Accept (Poster),Accept,YES,0.0,0.0,8.0,8.0,8.0,6.0,,,
20DsUSauCj,7.5,Accept,3.33,Reject,Reject,NO,0.0,0.0,2.0,4.0,4.0,,,,
23Ea4fVGiI,4.5,Reject,0.67,Reject,Reject,YES,0.0,0.0,2.0,0.0,0.0,,,,
2PJkG6aV4A,6.5,Accept,6.0,Reject,Reject,NO,0.0,0.0,4.0,8.0,8.0,4.0,,,
2cq8FyBfDk,5.5,Accept,3.2,Reject,Reject,NO,0.0,0.0,2.0,0.0,4.0,4.0,6.0,,
2uTxLC4LmC,7.0,Accept,5.0,Accept (Poster),Accept,YES,0.0,0.0,2.0,4.0,6.0,8.0,,,
2za3iNkwXn,6.0,Accept,4.4,Accept (Poster),Accept,YES,0.0,0.0,4.0,4.0,4.0,4.0,6.0,,
36CzrZYEch,6.5,Accept,4.0,Reject,Reject,NO,0.0,0.0,2.0,2.0,6.0,6.0,,,
