paper_id,pred_score,calibrated_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
f4HohsyNEk,6.5,6.0,Accept,3.50,Reject,Reject,NO,0.0000,0.0000,5,3,3,3,,,
u4CQHLTfg5,4.5,4.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3,3,3,,,,
34syfledje,4.5,4.0,Reject,6.00,Reject,Reject,YES,0.0000,0.0000,8,5,5,,,,
PxoFut3dWW,8.0,7.0,Accept,6.25,Accept,Accept,YES,0.0000,0.0000,8,5,6,6,,,
gQPwP1JFwC,4.0,4.0,Reject,3.50,Reject,Reject,YES,0.0000,0.0000,3,3,3,5,,,
pyW37euNXb,5.0,5.0,Reject,4.50,Reject,Reject,YES,0.0000,0.0000,3,5,5,5,,,
XdcuqZRhjQ,4.5,4.0,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,3,6,5,6,,,
wdteczB4mQ,6.0,6.0,Accept,5.67,Reject,Reject,NO,0.0000,0.0000,3,6,8,,,,
ZZrSOMLoau,5.0,5.0,Reject,4.75,Reject,Reject,YES,0.0000,0.0000,5,3,6,5,,,
ds6Mmd7LlH,4.5,4.0,Reject,5.80,Reject,Reject,YES,0.0000,0.0000,6,6,5,6,6,,
LJWizuuBUy,5.0,4.5,Reject,6.40,Accept,Accept,NO,0.0000,0.0000,6,8,6,6,6,,
sJ88Wg5Bp5,5.0,4.0,Reject,6.50,Accept,Accept,NO,0.0000,0.0000,6,6,6,8,,,
HD6bWcj87Y,6.5,5.5,Accept,7.50,Accept,Accept,YES,0.0000,0.0000,10,6,8,6,,,
