paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
65Ai8mLfjI,6.0,Accept,5.5,Accept (Poster),Accept,YES,0.0,0.0,4.0,8.0,6.0,4.0,,,
ao7VBbvWIK,3.0,Reject,1.0,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,2.0,0.0,,,,,
UJ2UUjT2ko,7.5,Accept,8.0,Accept (Poster),Accept,YES,0.0,0.0,8.0,8.0,8.0,,,,
GODFBZhFcX,7.0,Accept,4.5,Accept (Poster),Accept,YES,0.0,0.0,6.0,2.0,6.0,4.0,,,
VSDV0SWwOC,6.5,Accept,6.67,Accept (Poster),Accept,YES,0.0,0.0,8.0,4.0,8.0,,,,
hQZQVLJrH9,5.5,Reject,4.5,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,4.0,2.0,6.0,6.0,,,
PFhrOUJZ5o,6.0,Accept,5.0,Reject,Reject,NO,0.0,0.0,4.0,4.0,6.0,6.0,,,
ZMzha5gbnF,7.5,Accept,7.0,Accept (Poster),Accept,YES,0.0,0.0,6.0,6.0,8.0,8.0,,,
HwyYpLxY0G,5.0,Reject,0.5,Reject,Reject,YES,0.0,0.0,2.0,0.0,0.0,0.0,,,
TX4k7BF6aO,7.0,Accept,5.33,Accept (Poster),Accept,YES,0.0,0.0,4.0,4.0,8.0,,,,
khHNHzRjMy,5.5,Reject,3.0,Reject,Reject,YES,0.0,0.0,6.0,2.0,2.0,2.0,,,
U2SJE6W3wT,7.0,Accept,5.5,Accept (Poster),Accept,YES,0.0,0.0,4.0,6.0,6.0,6.0,,,
t33kMzEAg8,6.0,Accept,4.4,Accept (Poster),Accept,YES,0.0,0.0,6.0,4.0,6.0,4.0,2.0,,
5H8kxW0Efk,6.0,Accept,4.0,Reject,Reject,NO,0.0,0.0,6.0,4.0,2.0,,,,
RlMCc0JTu4,2.0,Reject,0.0,Reject,Reject,YES,0.0,0.0,0.0,0.0,0.0,0.0,,,
FF9QVQduAu,6.5,Accept,5.0,Accept (Poster),Accept,YES,0.0,0.0,2.0,6.0,4.0,8.0,,,
WxTlAbRUE6,6.0,Reject,2.5,Reject,Reject,YES,0.0,0.0,2.0,4.0,2.0,2.0,,,
cSpjHOf04S,7.5,Accept,5.0,Accept (Poster),Accept,YES,0.0,0.0,2.0,4.0,8.0,6.0,,,
