paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
SkmkGKEZ1U,4.0,Reject,0.5,Reject,Reject,YES,0.0,0.0,0.0,0.0,2.0,0.0,,,
PFhrOUJZ5o,6.5,Accept,5.0,Reject,Reject,NO,0.0,0.0,4.0,4.0,6.0,6.0,,,
RlMCc0JTu4,1.5,Reject,0.0,Reject,Reject,YES,0.0,0.0,0.0,0.0,0.0,0.0,,,
41JeFWdVFa,5.0,Reject,4.67,Reject,Reject,YES,0.0,0.0,6.0,6.0,2.0,,,,
6P5sAycAQr,4.5,Reject,3.0,Reject,Reject,YES,0.0,0.0,6.0,2.0,2.0,2.0,,,
4VW9HVCRw0,5.5,Reject,7.0,Accept (Poster),Accept,NO,0.0,0.0,8.0,8.0,6.0,6.0,,,
ocmGsqQWG2,5.0,Reject,2.0,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,2.0,2.0,2.0,2.0,,,
oiz0QHejVj,6.0,Accept,4.5,Reject,Reject,NO,0.0,0.0,4.0,6.0,4.0,4.0,,,
LD6B7AvkZq,5.0,Reject,3.0,Reject,Reject,YES,0.0,0.0,4.0,4.0,2.0,2.0,,,
X2yzXtH4wp,6.5,Accept,5.33,Accept (Poster),Accept,YES,0.0,0.0,6.0,6.0,4.0,,,,
Rd0yhdfueL,4.5,Reject,1.0,Reject,Reject,YES,0.0,0.0,2.0,0.0,0.0,2.0,,,
55GsILa8c9,6.5,Accept,6.0,Reject,Reject,NO,0.0,0.0,6.0,4.0,6.0,8.0,,,
W42oLSwI9p,5.5,Reject,5.0,Reject,Reject,YES,0.0,0.0,4.0,4.0,6.0,6.0,,,
eETr3lrOQB,5.5,Accept,4.5,Accept (Poster),Accept,YES,0.0,0.0,4.0,8.0,2.0,4.0,,,
s7gSTR2AqA,6.5,Accept,6.0,Accept (Poster),Accept,YES,0.0,0.0,4.0,8.0,6.0,,,,
i9q9xDMjG7,5.5,Accept,6.5,Accept (Poster),Accept,YES,0.0,0.0,8.0,6.0,6.0,6.0,,,
WxTlAbRUE6,5.0,Reject,2.5,Reject,Reject,YES,0.0,0.0,2.0,4.0,2.0,2.0,,,
BDNctVKwuD,5.5,Accept,1.33,Reject,Reject,NO,0.0,0.0,2.0,2.0,0.0,,,,
khBHJz2wcV,5.0,Reject,3.0,Accept (Poster),Accept,NO,0.0,0.0,0.0,2.0,6.0,4.0,,,
mkl9iIXIr2,6.0,Accept,5.33,Accept (Poster),Accept,YES,0.0,0.0,4.0,6.0,6.0,,,,
